"typ";"ertrag";"punkte_haupt";"punkte_anteil";"zeilen_haupt";"zeilen_neben";"jahre_haupt";"jahre_gesamt";"erster";"letzter";"basis";"kontext";"niveau_I";"niveau_II";"niveau_III";"schritte_mittel";"schritte_fehlt";"thema";"leitidee";"status"
"Scheitelpunkt ablesen";"10";"10";"1.3";"8";"1";"8";"9";"2017";"2026";"1";"7";"7";"1";"0";"0.5";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Punktprobe durchführen";"10";"10";"1.3";"5";"2";"5";"7";"2014";"2026";"1";"4";"4";"1";"0";"1.8";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Funktionswert berechnen";"10";"10";"1.3";"5";"2";"3";"5";"2016";"2026";"0";"5";"2";"3";"0";"1.8";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Wahrscheinlichkeit mehrstufig unabhängig";"10";"10";"1.3";"4";"5";"3";"5";"2014";"2026";"0";"4";"0";"4";"0";"2.8";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"gültig"
"Lineares Gleichungssystem aufstellen";"10";"10";"1.3";"3";"0";"3";"3";"2016";"2024";"0";"3";"1";"2";"0";"3.3";"0";"Lineare Gleichungssysteme";"Gleichungen und Funktionen";"gültig"
"Wahrscheinlichkeit mehrstufig ohne Zurücklegen";"9";"9";"1.2";"3";"3";"3";"5";"2015";"2024";"0";"3";"0";"1";"2";"2.7";"0";"Wahrscheinlichkeit mehrstufig";"Daten und Zufall";"gültig"
"Pythagoras Hypotenuse";"9";"9";"1.2";"3";"2";"3";"4";"2015";"2025";"0";"3";"1";"2";"0";"2.7";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Prozentwert berechnen";"8";"8";"1.0";"7";"2";"6";"6";"2014";"2026";"5";"2";"7";"0";"0";"1.3";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Volumen Zylinder berechnen";"8";"8";"1.0";"4";"1";"4";"5";"2021";"2026";"0";"4";"4";"0";"0";"1.8";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Aussage zu Diagramm prüfen";"8";"8";"1.0";"3";"0";"3";"3";"2018";"2022";"0";"3";"0";"2";"1";"1.3";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Netz eines Prismas vervollständigen";"8";"8";"1.0";"3";"0";"3";"3";"2014";"2020";"0";"3";"0";"3";"0";"0.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Achseneinteilung wählen";"8";"8";"1.0";"2";"1";"2";"3";"2016";"2021";"0";"2";"0";"2";"0";"2.0";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Tarife vergleichen";"8";"8";"1.0";"2";"0";"2";"2";"2016";"2023";"0";"2";"0";"2";"0";"4.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Zahlen in verschiedenen Darstellungen vergleichen";"7";"7";"0.9";"7";"0";"7";"7";"2014";"2023";"7";"0";"7";"0";"0";"1.4";"0";"Brüche und Dezimalzahlen";"Zahlen und Operationen";"gültig"
"Term zu Sachtext angeben";"7";"7";"0.9";"5";"0";"5";"5";"2015";"2023";"4";"1";"4";"1";"0";"0.4";"0";"Terme umformen";"Zahlen und Operationen";"gültig"
"Nullstellen quadratische Funktion berechnen";"7";"7";"0.9";"2";"1";"2";"3";"2017";"2025";"0";"2";"0";"2";"0";"3.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Gerade durch zwei Punkte zeichnen";"7";"7";"0.9";"2";"0";"2";"2";"2017";"2025";"0";"2";"0";"2";"0";"3.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Prozentuale Veränderung berechnen";"6";"6";"0.8";"3";"3";"3";"6";"2016";"2026";"0";"3";"1";"2";"0";"2.0";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Zufallsgerät zu Wahrscheinlichkeit entwerfen";"6";"6";"0.8";"4";"0";"4";"4";"2018";"2026";"2";"2";"1";"1";"2";"2.0";"0";"Wahrscheinlichkeit einstufig";"Daten und Zufall";"gültig"
"Sektor im Kreisdiagramm zuordnen";"6";"6";"0.8";"2";"2";"2";"4";"2017";"2024";"0";"2";"0";"2";"0";"2.0";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Anteilsaussage prüfen und korrigieren";"6";"6";"0.8";"3";"0";"3";"3";"2017";"2023";"0";"3";"0";"3";"0";"1.3";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Symmetrieachsen bestimmen";"6";"6";"0.8";"3";"0";"3";"3";"2021";"2025";"2";"1";"2";"1";"0";"1.0";"0";"Symmetrie und Abbildungen";"Raum und Form";"gültig"
"Lineare Funktion aus Sachverhalt aufstellen";"6";"6";"0.8";"2";"1";"2";"3";"2016";"2023";"0";"2";"0";"2";"0";"2.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Anzahl der Anordnungen bestimmen";"6";"6";"0.8";"2";"0";"2";"2";"2016";"2017";"0";"2";"0";"1";"1";"2.5";"0";"Zählen und Kombinatorik";"Daten und Zufall";"gültig"
"Graph zu Wachstumsprozess zuordnen";"6";"6";"0.8";"2";"0";"2";"2";"2019";"2026";"0";"2";"0";"0";"2";"0.0";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Wachstumsfaktor aus Tabelle bestimmen";"6";"6";"0.8";"2";"0";"2";"2";"2018";"2025";"0";"2";"1";"1";"0";"2.5";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Winkelsumme im Dreieck anwenden";"5";"5";"0.6";"4";"5";"4";"9";"2015";"2023";"0";"4";"3";"1";"0";"1.2";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Eigenschaften eines Graphen beurteilen";"5";"5";"0.6";"2";"4";"2";"6";"2018";"2026";"0";"2";"1";"1";"0";"2.0";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Term zu Figur angeben";"5";"5";"0.6";"5";"0";"5";"5";"2014";"2025";"5";"0";"5";"0";"0";"0.2";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Winkelfunktion Seitenverhältnis angeben";"5";"5";"0.6";"5";"0";"5";"5";"2017";"2025";"5";"0";"5";"0";"0";"0.2";"0";"Trigonometrie im rechtwinkligen Dreieck";"Größen und Messen";"gültig"
"Zehnerpotenzschreibweise umwandeln";"5";"5";"0.6";"5";"0";"5";"5";"2015";"2025";"4";"1";"5";"0";"0";"1.0";"0";"Zehnerpotenzen und Näherungswerte";"Zahlen und Operationen";"gültig"
"Ergebnismenge aufzählen";"5";"5";"0.6";"3";"1";"3";"4";"2017";"2025";"1";"2";"3";"0";"0";"1.3";"0";"Zählen und Kombinatorik";"Daten und Zufall";"gültig"
"Wertetabelle als Punkte darstellen";"5";"5";"0.6";"2";"2";"2";"4";"2016";"2025";"0";"2";"1";"1";"0";"1.5";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Achsenskalierung aus Säule bestimmen";"5";"5";"0.6";"2";"0";"2";"2";"2018";"2023";"0";"2";"0";"2";"0";"2.5";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Lineare Gleichung aus Sachverhalt aufstellen";"5";"5";"0.6";"2";"0";"2";"2";"2018";"2020";"0";"2";"0";"2";"0";"3.0";"0";"Lineare Gleichungen";"Gleichungen und Funktionen";"gültig"
"Minimum und Maximum ablesen";"5";"5";"0.6";"2";"0";"2";"2";"2014";"2022";"0";"2";"2";"0";"0";"1.0";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Draufsicht maßstabsgerecht zeichnen";"5";"5";"0.6";"1";"0";"1";"1";"2021";"2021";"0";"1";"0";"1";"0";"3.0";"0";"Maßstab";"Größen und Messen";"gültig"
"Strecke aus Teilstrecken berechnen";"4";"4";"0.5";"3";"6";"3";"6";"2014";"2026";"1";"2";"3";"0";"0";"1.7";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Kreisfläche berechnen";"4";"4";"0.5";"2";"3";"2";"5";"2016";"2024";"0";"2";"2";"0";"0";"1.5";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Pythagoras Gleichung zuordnen";"4";"4";"0.5";"4";"0";"4";"4";"2017";"2026";"4";"0";"4";"0";"0";"0.0";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Exponentialfunktion aufstellen";"4";"4";"0.5";"2";"2";"2";"4";"2016";"2026";"0";"2";"1";"1";"0";"1.0";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Kosten aus Menge und Preis berechnen";"4";"4";"0.5";"3";"1";"2";"3";"2014";"2026";"0";"3";"1";"2";"0";"1.7";"0";"Zuordnungen proportional und antiproportional";"Gleichungen und Funktionen";"gültig"
"Graph zu Tarif zuordnen";"4";"4";"0.5";"2";"0";"2";"2";"2016";"2023";"0";"2";"1";"1";"0";"0.0";"0";"Funktionen allgemein";"Gleichungen und Funktionen";"gültig"
"Länge im Maßstab umrechnen";"4";"4";"0.5";"2";"0";"2";"2";"2015";"2018";"0";"2";"2";"0";"0";"1.5";"0";"Maßstab";"Größen und Messen";"gültig"
"Verdopplungs- oder Halbwertszeit bestimmen";"4";"4";"0.5";"2";"0";"2";"2";"2016";"2020";"0";"2";"1";"1";"0";"1.0";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Wachstumsart begründen";"4";"4";"0.5";"2";"0";"2";"2";"2016";"2018";"0";"2";"0";"2";"0";"0.0";"0";"Exponentialfunktionen und Wachstum";"Gleichungen und Funktionen";"gültig"
"Fehler in Rechnung erklären und korrigieren";"4";"4";"0.5";"1";"0";"1";"1";"2014";"2014";"0";"1";"0";"0";"1";"2.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Körper in Schrägbild skizzieren";"4";"4";"0.5";"1";"0";"1";"1";"2024";"2024";"0";"1";"0";"1";"0";"1.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Parabel zu Eigenschaften angeben";"4";"4";"0.5";"1";"0";"1";"1";"2018";"2018";"0";"1";"0";"0";"1";"2.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Scheitelpunktform in Normalform umformen";"4";"4";"0.5";"1";"0";"1";"1";"2017";"2017";"0";"1";"0";"0";"1";"4.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Streckenlänge aus Koordinaten berechnen";"4";"4";"0.5";"1";"0";"1";"1";"2019";"2019";"0";"1";"0";"1";"0";"4.0";"0";"Satz des Pythagoras";"Größen und Messen";"gültig"
"Verschnitt in Prozent berechnen";"4";"4";"0.5";"1";"0";"1";"1";"2023";"2023";"0";"1";"0";"0";"1";"4.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Lineare Gleichung lösen";"3";"3";"0.4";"3";"3";"3";"5";"2018";"2024";"3";"0";"3";"0";"0";"1.7";"0";"Lineare Gleichungen";"Gleichungen und Funktionen";"gültig"
"Scheitelpunktform aufstellen";"3";"3";"0.4";"2";"3";"2";"5";"2016";"2025";"1";"1";"1";"1";"0";"0.5";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Zeiteinheiten umrechnen";"3";"3";"0.4";"3";"2";"3";"4";"2015";"2025";"3";"0";"3";"0";"0";"1.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Lineares Gleichungssystem lösen";"3";"3";"0.4";"1";"3";"1";"4";"2016";"2024";"0";"1";"0";"1";"0";"4.0";"0";"Lineare Gleichungssysteme";"Gleichungen und Funktionen";"gültig"
"Lösung durch Einsetzen prüfen";"3";"3";"0.4";"3";"0";"3";"3";"2018";"2025";"3";"0";"3";"0";"0";"1.0";"0";"Lineare Gleichungen";"Gleichungen und Funktionen";"gültig"
"Proportionale Zuordnung Dreisatz";"3";"3";"0.4";"3";"0";"3";"3";"2016";"2023";"3";"0";"3";"0";"0";"1.7";"0";"Zuordnungen proportional und antiproportional";"Gleichungen und Funktionen";"gültig"
"Termwert berechnen";"3";"3";"0.4";"3";"0";"3";"3";"2016";"2026";"3";"0";"3";"0";"0";"2.0";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"gültig"
"Winkel im Viereck berechnen";"3";"3";"0.4";"3";"0";"3";"3";"2021";"2026";"2";"1";"3";"0";"0";"1.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Verzerrung eines Diagramms erklären";"3";"3";"0.4";"2";"1";"2";"3";"2014";"2026";"0";"2";"0";"0";"2";"0.0";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Wert nach prozentualer Erhöhung berechnen";"3";"3";"0.4";"2";"1";"2";"3";"2015";"2024";"1";"1";"1";"1";"0";"1.5";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Geradengleichung aus zwei Punkten";"3";"3";"0.4";"1";"2";"1";"3";"2015";"2025";"0";"1";"0";"1";"0";"3.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Kreisdiagramm zeichnen";"3";"3";"0.4";"1";"2";"1";"3";"2015";"2025";"0";"1";"0";"1";"0";"2.0";"0";"Daten darstellen";"Daten und Zufall";"gültig"
"Endwert linearer Veränderung berechnen";"3";"3";"0.4";"2";"0";"2";"2";"2021";"2022";"0";"2";"2";"0";"0";"2.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Graph nach Eigenschaft auswählen";"3";"3";"0.4";"2";"0";"2";"2";"2016";"2019";"1";"1";"2";"0";"0";"0.5";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Median bestimmen";"3";"3";"0.4";"2";"0";"2";"2";"2015";"2024";"2";"0";"2";"0";"0";"1.5";"0";"Kenngrößen";"Daten und Zufall";"gültig"
"Parabel verschieben";"3";"3";"0.4";"2";"0";"2";"2";"2015";"2017";"1";"1";"1";"1";"0";"1.5";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Rechteckseite aus Fläche berechnen";"3";"3";"0.4";"2";"0";"2";"2";"2014";"2023";"1";"1";"1";"1";"0";"1.5";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Wert aus Diagramm ablesen";"3";"3";"0.4";"2";"0";"2";"2";"2015";"2016";"0";"2";"2";"0";"0";"0.5";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Mantelfläche Zylinder als Netz skizzieren";"3";"3";"0.4";"1";"1";"1";"2";"2022";"2023";"0";"1";"0";"1";"0";"2.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Gleichschenkliges Dreieck erkennen";"3";"3";"0.4";"2";"0";"1";"1";"2023";"2023";"1";"1";"1";"1";"0";"1.5";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Argument zu Funktionswert berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2023";"2023";"0";"1";"0";"1";"0";"3.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Flächeninhalt zusammengesetzter Figur berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2017";"2017";"0";"1";"0";"1";"0";"3.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Geradengleichung zu Graph zuordnen";"3";"3";"0.4";"1";"0";"1";"1";"2019";"2019";"0";"1";"0";"1";"0";"3.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Höhe eines Zylinders aus Volumen berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2023";"2023";"0";"1";"0";"1";"0";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Lage zweier Parabeln begründen";"3";"3";"0.4";"1";"0";"1";"1";"2026";"2026";"0";"1";"0";"0";"1";"0.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Lösbarkeit quadratischer Gleichung beurteilen";"3";"3";"0.4";"1";"0";"1";"1";"2021";"2021";"0";"1";"0";"0";"1";"3.0";"0";"Quadratische Gleichungen";"Gleichungen und Funktionen";"gültig"
"Mantelfläche Kegel berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2026";"2026";"0";"1";"0";"1";"0";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Materialbedarf aus Fläche berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2015";"2015";"0";"1";"0";"1";"0";"3.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Netz eines Zylinders erkennen";"3";"3";"0.4";"1";"0";"1";"1";"2022";"2022";"0";"1";"0";"1";"0";"2.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Parabel an der y-Achse spiegeln";"3";"3";"0.4";"1";"0";"1";"1";"2020";"2020";"0";"1";"0";"1";"0";"1.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Parabelgleichung zu Graph zuordnen";"3";"3";"0.4";"1";"0";"1";"1";"2015";"2015";"0";"1";"0";"1";"0";"1.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Radius eines Zylinders aus Volumen berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2022";"2022";"0";"1";"0";"1";"0";"3.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Restfläche berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2018";"2018";"0";"1";"0";"1";"0";"3.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Restvolumen berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2024";"2024";"0";"1";"0";"1";"0";"3.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Steigung in Prozent deuten";"3";"3";"0.4";"1";"0";"1";"1";"2025";"2025";"0";"1";"0";"1";"0";"2.0";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Term zu Körper angeben";"3";"3";"0.4";"1";"0";"1";"1";"2017";"2017";"0";"1";"0";"1";"0";"0.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Trapezhöhe aus Fläche berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2014";"2014";"0";"1";"0";"1";"0";"2.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Umfang Trapez berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2023";"2023";"0";"1";"0";"1";"0";"3.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Volumen Kegel und Zylinder vergleichen";"3";"3";"0.4";"1";"0";"1";"1";"2026";"2026";"0";"1";"0";"0";"1";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Volumen Kugel berechnen";"3";"3";"0.4";"1";"0";"1";"1";"2016";"2016";"0";"1";"0";"1";"0";"2.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Prozent und Anteil umwandeln";"2";"2";"0.3";"2";"4";"2";"5";"2014";"2022";"2";"0";"2";"0";"0";"0.5";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Säulen- oder Balkendiagramm ergänzen";"2";"2";"0.3";"2";"1";"2";"3";"2020";"2026";"0";"2";"2";"0";"0";"0.5";"0";"Daten darstellen";"Daten und Zufall";"gültig"
"Bruchteil einer Größe berechnen";"2";"2";"0.3";"2";"0";"2";"2";"2015";"2018";"2";"0";"2";"0";"0";"1.5";"0";"Brüche und Dezimalzahlen";"Zahlen und Operationen";"gültig"
"Eigenschaft einer Figur zuordnen";"2";"2";"0.3";"2";"0";"2";"2";"2016";"2026";"2";"0";"2";"0";"0";"0.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Exponent einer Potenz bestimmen";"2";"2";"0.3";"2";"0";"2";"2";"2020";"2024";"2";"0";"2";"0";"0";"1.0";"0";"Potenzen und Wurzeln";"Zahlen und Operationen";"gültig"
"Grundwert berechnen";"2";"2";"0.3";"2";"0";"2";"2";"2023";"2025";"2";"0";"2";"0";"0";"1.0";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Größen vergleichen";"2";"2";"0.3";"2";"0";"2";"2";"2019";"2026";"2";"0";"2";"0";"0";"1.0";"0";"Einheiten umrechnen";"Größen und Messen";"gültig"
"Körper aus Netz oder Schrägbild benennen";"2";"2";"0.3";"2";"0";"2";"2";"2017";"2018";"2";"0";"2";"0";"0";"0.0";"0";"Körper, Netze, Schrägbilder";"Raum und Form";"gültig"
"Werte im Diagramm nach Bedingung auswählen";"2";"2";"0.3";"2";"0";"2";"2";"2016";"2020";"0";"2";"2";"0";"0";"0.0";"0";"Diagramme lesen und beurteilen";"Daten und Zufall";"gültig"
"Winkel an geschnittenen Parallelen bestimmen";"2";"2";"0.3";"2";"0";"2";"2";"2015";"2020";"2";"0";"2";"0";"0";"0.5";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Winkel über Scheitel- oder Nebenwinkel bestimmen";"2";"2";"0.3";"2";"0";"2";"2";"2014";"2019";"2";"0";"2";"0";"0";"1.0";"0";"Ebene Figuren und Winkel";"Raum und Form";"gültig"
"Zahl zu Bedingung angeben";"2";"2";"0.3";"2";"0";"2";"2";"2014";"2015";"2";"0";"2";"0";"0";"0.5";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"gültig"
"Nullstelle lineare Funktion berechnen";"2";"2";"0.3";"1";"1";"1";"2";"2021";"2022";"0";"1";"1";"0";"0";"2.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Volumen Prisma berechnen";"2";"2";"0.3";"1";"1";"1";"2";"2014";"2019";"0";"1";"1";"0";"0";"1.0";"0";"Volumen und Oberfläche";"Größen und Messen";"gültig"
"Fehlenden Prozentanteil ergänzen";"2";"2";"0.3";"1";"0";"1";"1";"2021";"2021";"0";"1";"1";"0";"0";"1.0";"0";"Prozentrechnung";"Zahlen und Operationen";"gültig"
"Figur in Teilflächen zerlegen";"2";"2";"0.3";"1";"0";"1";"1";"2017";"2017";"0";"1";"1";"0";"0";"0.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Flächeninhalt Drachenviereck berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2025";"2025";"0";"1";"1";"0";"0";"1.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Flächeninhalt Trapez berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2023";"2023";"0";"1";"1";"0";"0";"2.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Gerade ohne gemeinsamen Punkt mit Parabel angeben";"2";"2";"0.3";"1";"0";"1";"1";"2014";"2014";"0";"1";"0";"1";"0";"0.0";"0";"Quadratische Funktionen";"Gleichungen und Funktionen";"gültig"
"Geschwindigkeit aus Weg und Zeit berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2015";"2015";"0";"1";"0";"1";"0";"3.0";"0";"Zuordnungen proportional und antiproportional";"Gleichungen und Funktionen";"gültig"
"Gleichung zu Tarif zuordnen";"2";"2";"0.3";"1";"0";"1";"1";"2021";"2021";"0";"1";"1";"0";"0";"0.0";"0";"Lineare Funktionen";"Gleichungen und Funktionen";"gültig"
"Grundseite aus Dreiecksfläche berechnen";"2";"2";"0.3";"1";"0";"1";"1";"2020";"2020";"0";"1";"0";"1";"0";"2.0";"0";"Flächeninhalt und Umfang";"Größen und Messen";"gültig"
"Guthabentabelle mit Zinsen ergänzen";"2";"2";"0.3";"1";"0";"1";"1";"2014";"2014";"0";"1";"0";"1";"0";"2.0";"0";"Zinsrechnung";"Zahlen und Operationen";"gültig"
"Günstigste Preiskombination bestimmen";"2";"2";"0.3";"1";"0";"1";"1";"2016";"2016";"0";"1";"0";"0";"1";"4.0";"0";"Rationale Zahlen rechnen";"Zahlen und Operationen";"gültig"
"Kenngrößen einer Liste prüfen";"2";"2";"0.3";"1";"0";"1";"1";"2025";"2025";"0";"1";"1";"0";"0";"2.0";"0";"Kenngrößen";"Daten und Zufall";"gültig"
