"ebene";"kennung";"titel";"datei";"von";"bis";"hinweis"
"3";"2021-B-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2021-B-2";"Aufgabe 2: Anwendung der Differential- und Integralrechnung";"";"5";"5";""
"3";"2021-B-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2021-B-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2021-B-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"8";""
"1";"2022";"Prüfung 2022";"";"";"";""
"2";"2022-B";"Aufgabenvorschlag B";"hefte/fhr/2022-b.pdf";"1";"10";"Prüfung 06.05.2022 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2022-B-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2022-B-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2022-B-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2022-B-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2022-B-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2022-B-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2022-B-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2022-B-gutachten";"Gutachtenbogen";"";"10";"10";""
"2";"2022-C";"Aufgabenvorschlag C";"hefte/fhr/2022-c.pdf";"1";"10";"Prüfung 06.05.2022 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2022-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2022-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2022-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2022-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2022-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2022-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2022-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2022-C-gutachten";"Gutachtenbogen";"";"10";"10";""
"1";"2023";"Prüfung 2023";"";"";"";""
"2";"2023-A";"Aufgabenvorschlag A";"hefte/fhr/2023-a.pdf";"1";"10";"Prüfung 05.05.2023 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2023-A-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2023-A-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2023-A-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2023-A-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2023-A-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2023-A-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2023-A-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2023-A-gutachten";"Gutachtenbogen";"";"10";"10";""
"2";"2023-C";"Aufgabenvorschlag C";"hefte/fhr/2023-c.pdf";"1";"8";"Prüfung 05.05.2023 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2023-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2023-C-1";"Aufgabe 1: Differential- und Integralrechnung";"";"2";"2";""
"3";"2023-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2023-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2023-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2023-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2023-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"8";""
"1";"2024";"Prüfung 2024";"";"";"";""
"2";"2024-B";"Aufgabenvorschlag B";"hefte/fhr/2024-b.pdf";"1";"10";"Prüfung 08.05.2024 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2024-B-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2024-B-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2024-B-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2024-B-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2024-B-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2024-B-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2024-B-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2024-B-gutachten";"Gutachtenbogen";"";"10";"10";""
"2";"2024-C";"Aufgabenvorschlag C";"hefte/fhr/2024-c.pdf";"1";"10";"Prüfung 08.05.2024 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2024-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2024-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2024-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2024-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2024-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2024-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2024-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2024-C-gutachten";"Gutachtenbogen";"";"10";"10";""
"1";"2025";"Prüfung 2025";"";"";"";""
"2";"2025-A";"Aufgabenvorschlag A";"hefte/fhr/2025-a.pdf";"1";"9";"Prüfung 28.05.2025 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2025-A-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2025-A-1";"Aufgabe 1: Differential- und Integralrechnung";"";"2";"2";""
"3";"2025-A-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2025-A-2";"Aufgabe 2: Differentialrechnung";"";"5";"5";""
"3";"2025-A-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2025-A-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2025-A-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"8";""
"3";"2025-A-gutachten";"Gutachtenbogen";"";"9";"9";""
"2";"2025-C";"Aufgabenvorschlag C";"hefte/fhr/2025-c.pdf";"1";"10";"Prüfung 28.05.2025 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2025-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2025-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2025-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2025-C-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2025-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2025-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2025-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2025-C-gutachten";"Gutachtenbogen";"";"10";"10";""
"1";"2026";"Prüfung 2026";"";"";"";""
"2";"2026-B";"Aufgabenvorschlag B";"hefte/fhr/2026-b.pdf";"1";"10";"Prüfung 05.06.2026 · 180 Minuten · 70 BE (30+20+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2026-B-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2026-B-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2026-B-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"4";""
"3";"2026-B-2";"Aufgabe 2: Differential- und Integralrechnung";"";"5";"5";""
"3";"2026-B-2-eh";"Erwartungshorizont Aufgabe 2";"";"6";"6";""
"3";"2026-B-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2026-B-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2026-B-gutachten";"Gutachtenbogen";"";"10";"10";""
"2";"2026-C";"Aufgabenvorschlag C";"hefte/fhr/2026-c.pdf";"1";"10";"Prüfung 05.06.2026 · 180 Minuten · 70 BE (27+23+20) · Formelsammlung, WTR ohne CAS · drei Aufgaben, alle zu bearbeiten"
"3";"2026-C-deckblatt";"Deckblatt";"";"1";"1";""
"3";"2026-C-1";"Aufgabe 1: Differentialrechnung";"";"2";"2";""
"3";"2026-C-1-eh";"Erwartungshorizont Aufgabe 1";"";"3";"3";""
"3";"2026-C-2";"Aufgabe 2: Integralrechnung";"";"4";"4";""
"3";"2026-C-2-eh";"Erwartungshorizont Aufgabe 2";"";"5";"6";""
"3";"2026-C-3";"Aufgabe 3: Stochastik";"";"7";"7";""
"3";"2026-C-3-eh";"Erwartungshorizont Aufgabe 3";"";"8";"9";""
"3";"2026-C-gutachten";"Gutachtenbogen";"";"10";"10";""
