# Stellenliste zu werkzeuge/marken-bau.py – Lesart einzelner Stellen aus katalog/_klassen-belege.md
# (Regel A aus katalog/_marken-entscheidungen.md und die Fälle „Katalog verortet den Stoff anders“).
# Angelegt im Auftrag Marken (archiv/auftrag-marken-2026-09-26.md). Von Hand gepflegt: eine Zeile je
# Stelle und Wirkung; eine Stelle mit mehreren Wirkungen steht in mehreren Zeilen.
#
# Felder, getrennt durch „ | “:
#   Eintrag | Einheit | Reihe und Klasse wie in _klassen-belege.md | Zitat (die Verzeichniszeile ohne
#   Anführungszeichen; beim LS die Lerneinheit hinter „›“) | Wirkung | Quelle | Grund
# Wirkung:
#   gilt                       die Stelle lehrt den Kern und setzt die Einführungsklasse (Regel B bleibt
#                              davon unberührt: trägt die Stelle eine Verlagsmarke, zählt sie trotzdem nicht)
#   ohne Klasse                Vorstufe ohne Typ: die Stelle setzt keine Klasse (Regel A)
#   Einheit N                  die Stelle gilt für Einheit N desselben Eintrags statt für ihre eigene
#   Typ <eintrag> <N>: <Typ>   die Stelle wird Typzeile an diesem Typ (Typname wortgleich aus „Typen je
#                              Lerneinheit“); steht keine Zeile „gilt“ oder „Einheit N“ daneben, setzt sie
#                              keine Klasse der Einheit (Regel A)
# Quelle: „Datei 2“ (katalog/_marken-entscheidungen.md, Tabelle „Die 38 Fälle“) oder „eigen“ (im Lauf
# entschieden, Grund hier und im Bericht bericht-marken.md).
# Seit dem Auftrag Nacht 2026-09-27 (Teil 1) stehen die Potenzfunktionen-Stellen unter potenz-exponentialfunktionen
# Einheit 5, die Vierfeldertafel-Stellen unter daten Einheit 7 und die Klasseneinteilungs-Stellen (Typzeilen) unter daten
# Einheit 1, wie in werkzeuge/klassen-belege-daten.py; Datei 2 nennt die alte Einheit (marken-bau.py liest die neue
# aus der Spalte „Entscheidung“ dort).
# Das Skript bricht ab, wenn eine Zeile keine oder mehr als eine Stelle trifft, wenn ein Typ nicht im
# Eintrag steht, wenn ein Fall aus Datei 2 hier fehlt oder wenn eine Stelle, deren Ermessenstext
# „Vorstufe“, „Einstieg“, „Wiederaufnahme“, „Zeichnen“ oder „Benennen“ enthält, hier nicht steht.

# --- Datei 2, Sorte „Frühe Stelle als Grundstufe gelesen“ (15)
brueche-dezimalzahlen | 1 | Mathematik heute Kl. 6 | Brüche | gilt | Datei 2 | nennt den Kern
daten | 1 | Mathematik heute Kl. 9 | Zusammenfassen von Daten zu Klassen | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | Datei 2 | Klassen bilden ist Sek I
daten | 1 | Mathematik heute Kl. 9 | Zusammenfassen von Daten zu Klassen | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | Datei 2 | wie oben
daten | 1 | Mathematik heute Kl. 9 | Zusammenfassen von Daten zu Klassen | Typ daten 1: Säulendiagramm der Klassen zeichnen | Datei 2 | wie oben
daten | 1 | Mathematik heute Kl. 9 | Zusammenfassen von Daten zu Klassen | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | Datei 2 | wie oben
daten | 1 | Fundamente Kl. 6 | 6.3 Klasseneinteilung | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | Datei 2 | Klassen bilden ist Sek I
daten | 1 | Fundamente Kl. 6 | 6.3 Klasseneinteilung | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | Datei 2 | wie oben
daten | 1 | Fundamente Kl. 6 | 6.3 Klasseneinteilung | Typ daten 1: Säulendiagramm der Klassen zeichnen | Datei 2 | wie oben
daten | 1 | Fundamente Kl. 6 | 6.3 Klasseneinteilung | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | Datei 2 | wie oben
daten | 6 | Fundamente Kl. 10 | 4.1 Häufigkeitsverteilungen | gilt | Datei 2 | Stelle für Einheit 6 (Sek II, ohne Klassenwirkung in den Marken)
daten | 1 | Fundamente Kl. 10 | 4.1 Häufigkeitsverteilungen | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | Datei 2 | und Typzeile an den Klassen-Typen in Einheit 1
daten | 1 | Fundamente Kl. 10 | 4.1 Häufigkeitsverteilungen | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | Datei 2 | wie oben
daten | 1 | Fundamente Kl. 10 | 4.1 Häufigkeitsverteilungen | Typ daten 1: Säulendiagramm der Klassen zeichnen | Datei 2 | wie oben
daten | 1 | Fundamente Kl. 10 | 4.1 Häufigkeitsverteilungen | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | Datei 2 | wie oben
daten | 6 | Fundamente Kl. 10 | 4.2 Lagemaße und Streumaße | gilt | Datei 2 | gilt für Einheit 4 und 6 (steht in _klassen-belege.md schon unter beiden Einheiten); Standardabweichung am Gymnasium Kl. 10

# --- eigen: Regel A, Stellen mit „Vorstufe“, „Einstieg“, „Wiederaufnahme“, „Zeichnen“ oder „Benennen“ im Ermessenstext, die Datei 2 nicht nennt (11)
kreis | 1 | Mathematik heute Kl. 8 | Kreis - Kreisornamente | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | eigen | Vorstufe: Kreise mit dem Zirkel zeichnen (Ornamente) vor „Umfang und Flächeninhalt eines Kreises“ (S. 115); der Kern der Einheit ist der Umfang
kreis | 1 | LS Kl. 6 | 3 Kreise und Kreisfiguren | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | eigen | Vorstufe wie Mathematik 2023 Kl. 5 „Kreise“ (Datei 2): Zeichnen mit Radius und Durchmesser; der Umfang folgt Kl. 8 (Kapitel VI 5)
kreis | 1 | Fundamente Kl. 6 | 3.1 Kreis | Typ kreis 1: Radius, Durchmesser, Mittelpunkt in einer Figur benennen und einzeichnen | eigen | Vorstufe wie Mathematik 2023 Kl. 5 (Datei 2): Zeichnen und Benennen; der Umfang folgt Kl. 8 (7.3)
kreis | 1 | Fundamente Kl. 6 | 3.1 Kreis | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | eigen | wie oben
kreis | 1 | Fundamente Kl. 7 | 4.1 Kreis | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | eigen | Vorstufe: Kreis zeichnen im Kapitel Geometrische Konstruktionen; der Umfang folgt Kl. 8 (7.3)
kreis | 1 | Elemente Kl. 5 (Ausgabe 2025) | 5.4 Kreise | Typ kreis 1: Radius, Durchmesser, Mittelpunkt in einer Figur benennen und einzeichnen | eigen | Vorstufe wie Mathematik 2023 Kl. 5 (Datei 2): Zeichnen und Benennen; der Umfang folgt Kl. 7 (7.5)
kreis | 1 | Elemente Kl. 5 (Ausgabe 2025) | 5.4 Kreise | Typ kreis 1: Kreis mit gegebenem Radius oder Durchmesser zeichnen | eigen | wie oben
koerper | 1 | Sekundo Kl. 7 | Würfel- und Quadernetze | gilt | eigen | Kern: Netze stehen in der Nummernzeile („Körper erkennen, Netze, Schrägbilder“); die Typzeile am Würfelnetz-Typ bleibt
koerper | 1 | Mathematik 2023 Kl. 8 | Eigenschaften eines Prismas | gilt | eigen | Kern: Körper erkennen und Flächen benennen steht in der Nummernzeile; die Typzeile bleibt; Mathematik 2023 führt die Einheit schon Kl. 5
terme | 1 | Mathematik 2023 Kl. 8 | Terme | gilt | eigen | Einstieg im Kapitel Terme, gleiche Klasse wie seine Fortsetzung (wie lineare-gleichungen 2 in Datei 2); Mathematik 2023 führt die Einheit schon Kl. 6
quadratische-gleichungen | 1 | Sekundo Kl. 10 | Quadratische Gleichungen | gilt | eigen | Einstieg im selben Kapitel, gleiche Klasse (wie lineare-gleichungen 2 und trigonometrische-funktionen 4 in Datei 2)
quadratische-gleichungen | 1 | Schnittpunkt Kl. 10 | 5 Quadratische Gleichungen | gilt | eigen | Einstieg im Kapitel, gleiche Klasse wie die Lösungsformel S. 20
quadratische-gleichungen | 1 | Mathematik heute Kl. 9 | Quadratische Gleichungen | gilt | eigen | Einstieg im Kapitel, gleiche Klasse wie das rechnerische Lösen S. 204

# --- eigen: Stellen desselben Inhalts wie Fälle aus Datei 2, ohne Ermessenszeile und deshalb dort nicht genannt (4)
potenz-exponentialfunktionen | 5 | Fundamente Kl. 10 | 1.2 Potenzfunktionen mit natürlichen Exponenten | gilt | eigen | dieselbe Lerneinheit wie Fundamente Kl. 9 6.2 (Kapitel „Potenzfunktionen (Wiederholung aus Klasse 9)“); gehört wie die sieben Stellen aus Datei 2 zur neuen Einheit 5
daten | 1 | Fundamente Kl. 7 | 7.3 Klasseneinteilung und Histogramme | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | eigen | Klasseneinteilung wie die Stellen aus Datei 2 (Klassen bilden ist Sek I)
daten | 1 | Fundamente Kl. 7 | 7.3 Klasseneinteilung und Histogramme | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | eigen | wie oben
daten | 1 | Fundamente Kl. 7 | 7.3 Klasseneinteilung und Histogramme | Typ daten 1: Säulendiagramm der Klassen zeichnen | eigen | wie oben
daten | 1 | Fundamente Kl. 7 | 7.3 Klasseneinteilung und Histogramme | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2016) | 3.3 Klasseneinteilung bei Stichproben | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | eigen | Klasseneinteilung wie die Stellen aus Datei 2 (Klassen bilden ist Sek I)
daten | 1 | Elemente Kl. 7 (Ausgabe 2016) | 3.3 Klasseneinteilung bei Stichproben | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2016) | 3.3 Klasseneinteilung bei Stichproben | Typ daten 1: Säulendiagramm der Klassen zeichnen | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2016) | 3.3 Klasseneinteilung bei Stichproben | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2025) | 9.4 Klasseneinteilung von Stichproben | Typ daten 1: Klassen zu einer Urliste bilden (gleich breit, Randregel) | eigen | Klasseneinteilung wie die Stellen aus Datei 2 (Klassen bilden ist Sek I)
daten | 1 | Elemente Kl. 7 (Ausgabe 2025) | 9.4 Klasseneinteilung von Stichproben | Typ daten 1: Häufigkeitstabelle mit Klassen auszählen | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2025) | 9.4 Klasseneinteilung von Stichproben | Typ daten 1: Säulendiagramm der Klassen zeichnen | eigen | wie oben
daten | 1 | Elemente Kl. 7 (Ausgabe 2025) | 9.4 Klasseneinteilung von Stichproben | Typ daten 1: Aussage aus der Klassentabelle prüfen (in welcher Klasse liegen die meisten) | eigen | wie oben
