"kennung";"jahr";"niveau";"teil";"sachgebiet";"gruppe";"hilfsmittel";"nr";"papier";"stapel";"seiten";"dublette_von"
"2026MgrundlegendBAGLAA2WTR2";"2026";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2026-iqb-ga";"2026-ga-B";"3";""
"2026MgrundlegendBAGLAA2MMS1";"2026";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"1";"2026-iqb-ga-mms";"2026-ga-B";"4";"2026MgrundlegendBAGLAA2WTR1"
"2026MgrundlegendBAGLAA2MMS2";"2026";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"2";"2026-iqb-ga-mms";"2026-ga-B";"3";""
"2026MgrundlegendBStochastikWTR1";"2026";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2026-iqb-ga";"2026-ga-B";"4";""
"2026MgrundlegendBStochastikWTR2";"2026";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2026-iqb-ga";"2026-ga-B";"3";""
"2026MgrundlegendBStochastikMMS1";"2026";"grundlegend";"B";"Stochastik";"";"MMS";"1";"2026-iqb-ga-mms";"2026-ga-B";"4";"2026MgrundlegendBStochastikWTR1"
"2026MgrundlegendBStochastikMMS2";"2026";"grundlegend";"B";"Stochastik";"";"MMS";"2";"2026-iqb-ga-mms";"2026-ga-B";"3";"2026MgrundlegendBStochastikWTR2"
"2026MerhoehtAAnalysis11";"2026";"erhoeht";"A";"Analysis";"1";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAnalysis12";"2026";"erhoeht";"A";"Analysis";"1";"";"2";"2026-iqb-ea";"2026-ea-A";"3";""
"2026MerhoehtAAnalysis13";"2026";"erhoeht";"A";"Analysis";"1";"";"3";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAnalysis14";"2026";"erhoeht";"A";"Analysis";"1";"";"4";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAnalysis21";"2026";"erhoeht";"A";"Analysis";"2";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAnalysis22";"2026";"erhoeht";"A";"Analysis";"2";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAnalysis23";"2026";"erhoeht";"A";"Analysis";"2";"";"3";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA11";"2026";"erhoeht";"A";"AG/LA (A1)";"1";"";"";"2026-iqb-ea";"2026-ea-A";"3";""
"2026MerhoehtAAGLAA121";"2026";"erhoeht";"A";"AG/LA (A1)";"2";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA122";"2026";"erhoeht";"A";"AG/LA (A1)";"2";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA211";"2026";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA212";"2026";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA221";"2026";"erhoeht";"A";"AG/LA (A2)";"2";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA222";"2026";"erhoeht";"A";"AG/LA (A2)";"2";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAAGLAA223";"2026";"erhoeht";"A";"AG/LA (A2)";"2";"";"3";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAStochastik11";"2026";"erhoeht";"A";"Stochastik";"1";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAStochastik12";"2026";"erhoeht";"A";"Stochastik";"1";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAStochastik21";"2026";"erhoeht";"A";"Stochastik";"2";"";"1";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAStochastik22";"2026";"erhoeht";"A";"Stochastik";"2";"";"2";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtAStochastik23";"2026";"erhoeht";"A";"Stochastik";"2";"";"3";"2026-iqb-ea";"2026-ea-A";"2";""
"2026MerhoehtBAnalysisWTR1";"2026";"erhoeht";"B";"Analysis";"";"WTR";"1";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBAnalysisWTR2";"2026";"erhoeht";"B";"Analysis";"";"WTR";"2";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBAnalysisWTR3";"2026";"erhoeht";"B";"Analysis";"";"WTR";"3";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBAnalysisMMS1";"2026";"erhoeht";"B";"Analysis";"";"MMS";"1";"2026-iqb-ea-mms";"2026-ea-B";"4";""
"2026MerhoehtBAnalysisMMS2";"2026";"erhoeht";"B";"Analysis";"";"MMS";"2";"2026-iqb-ea-mms";"2026-ea-B";"4";""
"2026MerhoehtBAGLAA1WTR";"2026";"erhoeht";"B";"AG/LA (A1)";"";"WTR";"";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBAGLAA1MMS";"2026";"erhoeht";"B";"AG/LA (A1)";"";"MMS";"";"2026-iqb-ea-mms";"2026-ea-B";"4";""
"2026MerhoehtBAGLAA2WTR1";"2026";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"1";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBAGLAA2WTR2";"2026";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"2";"2026-iqb-ea";"2026-ea-B";"3";""
"2026MerhoehtBAGLAA2MMS1";"2026";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"1";"2026-iqb-ea-mms";"2026-ea-B";"4";"2026MerhoehtBAGLAA2WTR1"
"2026MerhoehtBAGLAA2MMS2";"2026";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"2";"2026-iqb-ea-mms";"2026-ea-B";"4";""
"2026MerhoehtBStochastikWTR1";"2026";"erhoeht";"B";"Stochastik";"";"WTR";"1";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBStochastikWTR2";"2026";"erhoeht";"B";"Stochastik";"";"WTR";"2";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBStochastikWTR3";"2026";"erhoeht";"B";"Stochastik";"";"WTR";"3";"2026-iqb-ea";"2026-ea-B";"4";""
"2026MerhoehtBStochastikMMS1";"2026";"erhoeht";"B";"Stochastik";"";"MMS";"1";"2026-iqb-ea-mms";"2026-ea-B";"4";"2026MerhoehtBStochastikWTR1"
"2026MerhoehtBStochastikMMS2";"2026";"erhoeht";"B";"Stochastik";"";"MMS";"2";"2026-iqb-ea-mms";"2026-ea-B";"4";"2026MerhoehtBStochastikWTR2"
"2026MerhoehtBStochastikMMS3";"2026";"erhoeht";"B";"Stochastik";"";"MMS";"3";"2026-iqb-ea-mms";"2026-ea-B";"4";""
"2025MgrundlegendAAnalysis11";"2025";"grundlegend";"A";"Analysis";"1";"";"1";"2025-iqb-ga";"2025-ga-A";"3";""
"2025MgrundlegendAAnalysis12";"2025";"grundlegend";"A";"Analysis";"1";"";"2";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAnalysis13";"2025";"grundlegend";"A";"Analysis";"1";"";"3";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAnalysis21";"2025";"grundlegend";"A";"Analysis";"2";"";"1";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAnalysis22";"2025";"grundlegend";"A";"Analysis";"2";"";"2";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA11";"2025";"grundlegend";"A";"AG/LA (A1)";"1";"";"";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA12";"2025";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA211";"2025";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA212";"2025";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA213";"2025";"grundlegend";"A";"AG/LA (A2)";"1";"";"3";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA221";"2025";"grundlegend";"A";"AG/LA (A2)";"2";"";"1";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAAGLAA222";"2025";"grundlegend";"A";"AG/LA (A2)";"2";"";"2";"2025-iqb-ga";"2025-ga-A";"2";"2025MgrundlegendAAGLAA12"
"2025MgrundlegendAStochastik11";"2025";"grundlegend";"A";"Stochastik";"1";"";"1";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAStochastik12";"2025";"grundlegend";"A";"Stochastik";"1";"";"2";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAStochastik13";"2025";"grundlegend";"A";"Stochastik";"1";"";"3";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAStochastik21";"2025";"grundlegend";"A";"Stochastik";"2";"";"1";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendAStochastik22";"2025";"grundlegend";"A";"Stochastik";"2";"";"2";"2025-iqb-ga";"2025-ga-A";"2";""
"2025MgrundlegendBAnalysisWTR1";"2025";"grundlegend";"B";"Analysis";"";"WTR";"1";"2025-iqb-ga";"2025-ga-B";"4";""
"2025MgrundlegendBAnalysisWTR2";"2025";"grundlegend";"B";"Analysis";"";"WTR";"2";"2025-iqb-ga";"2025-ga-B";"4";""
"2025MgrundlegendBAnalysisMMS1";"2025";"grundlegend";"B";"Analysis";"";"MMS";"1";"2025-iqb-ga-mms";"2025-ga-B";"4";""
"2025MgrundlegendBAnalysisMMS2";"2025";"grundlegend";"B";"Analysis";"";"MMS";"2";"2025-iqb-ga-mms";"2025-ga-B";"4";""
"2025MgrundlegendBAGLAA1WTR";"2025";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2025-iqb-ga";"2025-ga-B";"3";""
"2025MgrundlegendBAGLAA2WTR1";"2025";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2025-iqb-ga";"2025-ga-B";"4";""
"2025MgrundlegendBAGLAA2WTR2";"2025";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2025-iqb-ga";"2025-ga-B";"3";""
"2025MgrundlegendBAGLAA2MMS1";"2025";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"1";"2025-iqb-ga-mms";"2025-ga-B";"4";""
"2025MgrundlegendBAGLAA2MMS2";"2025";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"2";"2025-iqb-ga-mms";"2025-ga-B";"3";""
"2025MgrundlegendBStochastikWTR1";"2025";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2025-iqb-ga";"2025-ga-B";"3";""
"2025MgrundlegendBStochastikWTR2";"2025";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2025-iqb-ga";"2025-ga-B";"3";""
"2025MgrundlegendBStochastikWTR3";"2025";"grundlegend";"B";"Stochastik";"";"WTR";"3";"2025-iqb-ga";"2025-ga-B";"3";""
"2025MgrundlegendBStochastikMMS1";"2025";"grundlegend";"B";"Stochastik";"";"MMS";"1";"2025-iqb-ga-mms";"2025-ga-B";"3";""
"2025MgrundlegendBStochastikMMS2";"2025";"grundlegend";"B";"Stochastik";"";"MMS";"2";"2025-iqb-ga-mms";"2025-ga-B";"3";"2025MgrundlegendBStochastikWTR2"
"2025MerhoehtAAnalysis11";"2025";"erhoeht";"A";"Analysis";"1";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAnalysis12";"2025";"erhoeht";"A";"Analysis";"1";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAnalysis13";"2025";"erhoeht";"A";"Analysis";"1";"";"3";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAnalysis21";"2025";"erhoeht";"A";"Analysis";"2";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAnalysis22";"2025";"erhoeht";"A";"Analysis";"2";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAnalysis23";"2025";"erhoeht";"A";"Analysis";"2";"";"3";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA11";"2025";"erhoeht";"A";"AG/LA (A1)";"1";"";"";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA121";"2025";"erhoeht";"A";"AG/LA (A1)";"2";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA122";"2025";"erhoeht";"A";"AG/LA (A1)";"2";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA211";"2025";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA212";"2025";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2025-iqb-ea";"2025-ea-A";"3";""
"2025MerhoehtAAGLAA221";"2025";"erhoeht";"A";"AG/LA (A2)";"2";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA222";"2025";"erhoeht";"A";"AG/LA (A2)";"2";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA223";"2025";"erhoeht";"A";"AG/LA (A2)";"2";"";"3";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAAGLAA224";"2025";"erhoeht";"A";"AG/LA (A2)";"2";"";"4";"2025-iqb-ea";"2025-ea-A";"2";"2025MerhoehtAAGLAA121"
"2025MerhoehtAStochastik11";"2025";"erhoeht";"A";"Stochastik";"1";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAStochastik12";"2025";"erhoeht";"A";"Stochastik";"1";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAStochastik21";"2025";"erhoeht";"A";"Stochastik";"2";"";"1";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAStochastik22";"2025";"erhoeht";"A";"Stochastik";"2";"";"2";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtAStochastik23";"2025";"erhoeht";"A";"Stochastik";"2";"";"3";"2025-iqb-ea";"2025-ea-A";"2";""
"2025MerhoehtBAnalysisWTR1";"2025";"erhoeht";"B";"Analysis";"";"WTR";"1";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBAnalysisWTR2";"2025";"erhoeht";"B";"Analysis";"";"WTR";"2";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBAnalysisWTR3";"2025";"erhoeht";"B";"Analysis";"";"WTR";"3";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBAnalysisMMS1";"2025";"erhoeht";"B";"Analysis";"";"MMS";"1";"2025-iqb-ea-mms";"2025-ea-B";"4";""
"2025MerhoehtBAnalysisMMS2";"2025";"erhoeht";"B";"Analysis";"";"MMS";"2";"2025-iqb-ea-mms";"2025-ea-B";"4";""
"2025MerhoehtBAGLAA1WTR";"2025";"erhoeht";"B";"AG/LA (A1)";"";"WTR";"";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBAGLAA1MMS";"2025";"erhoeht";"B";"AG/LA (A1)";"";"MMS";"";"2025-iqb-ea-mms";"2025-ea-B";"4";""
"2025MerhoehtBAGLAA2WTR";"2025";"erhoeht";"B";"AG/LA (A2)";"";"WTR";"";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBAGLAA2MMS";"2025";"erhoeht";"B";"AG/LA (A2)";"";"MMS";"";"2025-iqb-ea-mms";"2025-ea-B";"3";""
"2025MerhoehtBStochastikWTR1";"2025";"erhoeht";"B";"Stochastik";"";"WTR";"1";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBStochastikWTR2";"2025";"erhoeht";"B";"Stochastik";"";"WTR";"2";"2025-iqb-ea";"2025-ea-B";"3";""
"2025MerhoehtBStochastikWTR3";"2025";"erhoeht";"B";"Stochastik";"";"WTR";"3";"2025-iqb-ea";"2025-ea-B";"4";""
"2025MerhoehtBStochastikMMS1";"2025";"erhoeht";"B";"Stochastik";"";"MMS";"1";"2025-iqb-ea-mms";"2025-ea-B";"4";"2025MerhoehtBStochastikWTR1"
"2025MerhoehtBStochastikMMS2";"2025";"erhoeht";"B";"Stochastik";"";"MMS";"2";"2025-iqb-ea-mms";"2025-ea-B";"3";"2025MerhoehtBStochastikWTR2"
"2025MerhoehtBStochastikMMS3";"2025";"erhoeht";"B";"Stochastik";"";"MMS";"3";"2025-iqb-ea-mms";"2025-ea-B";"4";"2025MerhoehtBStochastikWTR3"
"2024MgrundlegendAAnalysis11";"2024";"grundlegend";"A";"Analysis";"1";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAnalysis12";"2024";"grundlegend";"A";"Analysis";"1";"";"2";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAnalysis13";"2024";"grundlegend";"A";"Analysis";"1";"";"3";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAnalysis21";"2024";"grundlegend";"A";"Analysis";"2";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAnalysis22";"2024";"grundlegend";"A";"Analysis";"2";"";"2";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA111";"2024";"grundlegend";"A";"AG/LA (A1)";"1";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA112";"2024";"grundlegend";"A";"AG/LA (A1)";"1";"";"2";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA12";"2024";"grundlegend";"A";"AG/LA (A1)";"2";"";"";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA211";"2024";"grundlegend";"A";"AG/LA (A2)";"1";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA212";"2024";"grundlegend";"A";"AG/LA (A2)";"1";"";"2";"2024-iqb-ga";"2024-ga-A";"2";"2024MgrundlegendAAGLAA112"
"2024MgrundlegendAAGLAA213";"2024";"grundlegend";"A";"AG/LA (A2)";"1";"";"3";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAAGLAA221";"2024";"grundlegend";"A";"AG/LA (A2)";"2";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAStochastik11";"2024";"grundlegend";"A";"Stochastik";"1";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAStochastik12";"2024";"grundlegend";"A";"Stochastik";"1";"";"2";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAStochastik13";"2024";"grundlegend";"A";"Stochastik";"1";"";"3";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAStochastik21";"2024";"grundlegend";"A";"Stochastik";"2";"";"1";"2024-iqb-ga";"2024-ga-A";"2";""
"2024MgrundlegendAStochastik22";"2024";"grundlegend";"A";"Stochastik";"2";"";"2";"2024-iqb-ga";"2024-ga-A";"3";""
"2024MgrundlegendBAnalysisWTR1";"2024";"grundlegend";"B";"Analysis";"";"WTR";"1";"2024-iqb-ga";"2024-ga-B";"5";""
"2024MgrundlegendBAnalysisWTR2";"2024";"grundlegend";"B";"Analysis";"";"WTR";"2";"2024-iqb-ga";"2024-ga-B";"5";""
"2024MgrundlegendBAnalysisMMS1";"2024";"grundlegend";"B";"Analysis";"";"MMS";"1";"2024-iqb-ga-mms";"2024-ga-B";"4";""
"2024MgrundlegendBAnalysisMMS2";"2024";"grundlegend";"B";"Analysis";"";"MMS";"2";"2024-iqb-ga-mms";"2024-ga-B";"5";""
"2024MgrundlegendBAGLAA1WTR";"2024";"grundlegend";"B";"AG/LA (A1)";"";"WTR";"";"2024-iqb-ga";"2024-ga-B";"4";""
"2024MgrundlegendBAGLAA1MMS";"2024";"grundlegend";"B";"AG/LA (A1)";"";"MMS";"";"2024-iqb-ga-mms";"2024-ga-B";"4";""
"2024MgrundlegendBAGLAA2WTR1";"2024";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"1";"2024-iqb-ga";"2024-ga-B";"4";""
"2024MgrundlegendBAGLAA2WTR2";"2024";"grundlegend";"B";"AG/LA (A2)";"";"WTR";"2";"2024-iqb-ga";"2024-ga-B";"4";""
"2024MgrundlegendBAGLAA2MMS1";"2024";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"1";"2024-iqb-ga-mms";"2024-ga-B";"4";"2024MgrundlegendBAGLAA2WTR1"
"2024MgrundlegendBAGLAA2MMS2";"2024";"grundlegend";"B";"AG/LA (A2)";"";"MMS";"2";"2024-iqb-ga-mms";"2024-ga-B";"4";""
"2024MgrundlegendBStochastikWTR1";"2024";"grundlegend";"B";"Stochastik";"";"WTR";"1";"2024-iqb-ga";"2024-ga-B";"4";""
"2024MgrundlegendBStochastikWTR2";"2024";"grundlegend";"B";"Stochastik";"";"WTR";"2";"2024-iqb-ga";"2024-ga-B";"4";""
"2024MgrundlegendBStochastikMMS1";"2024";"grundlegend";"B";"Stochastik";"";"MMS";"1";"2024-iqb-ga-mms";"2024-ga-B";"4";""
"2024MerhoehtAAnalysis11";"2024";"erhoeht";"A";"Analysis";"1";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAnalysis12";"2024";"erhoeht";"A";"Analysis";"1";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAnalysis13";"2024";"erhoeht";"A";"Analysis";"1";"";"3";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAnalysis21";"2024";"erhoeht";"A";"Analysis";"2";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAnalysis22";"2024";"erhoeht";"A";"Analysis";"2";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAnalysis23";"2024";"erhoeht";"A";"Analysis";"2";"";"3";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA11";"2024";"erhoeht";"A";"AG/LA (A1)";"1";"";"";"2024-iqb-ea";"2024-ea-A";"3";""
"2024MerhoehtAAGLAA121";"2024";"erhoeht";"A";"AG/LA (A1)";"2";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA122";"2024";"erhoeht";"A";"AG/LA (A1)";"2";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA211";"2024";"erhoeht";"A";"AG/LA (A2)";"1";"";"1";"2024-iqb-ea";"2024-ea-A";"3";""
"2024MerhoehtAAGLAA212";"2024";"erhoeht";"A";"AG/LA (A2)";"1";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA221";"2024";"erhoeht";"A";"AG/LA (A2)";"2";"";"1";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA222";"2024";"erhoeht";"A";"AG/LA (A2)";"2";"";"2";"2024-iqb-ea";"2024-ea-A";"2";""
"2024MerhoehtAAGLAA223";"2024";"erhoeht";"A";"AG/LA (A2)";"2";"";"3";"2024-iqb-ea";"2024-ea-A";"2";""
