"kanonisch";"stufe";"profil";"leitidee";"thema";"zeilen";"typen";"bemerkung"
"quadratische-gleichungen";"I";"msa";"Gleichungen und Funktionen";"Quadratische Gleichungen";"2";"2";""
"rationale-zahlen";"I";"msa";"Zahlen und Operationen";"Rationale Zahlen rechnen";"8";"5";""
"reelle-zahlen";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"strahlensaetze";"I";"msa";"Größen und Messen";"Maßstab";"3";"2";"Maßstab als proportionale Zuordnung; bis 27.09.2026 bei zuordnungen, katalog/index.md führt ihn bei strahlensaetze Einheit 1"
"symmetrie-abbildungen";"I";"msa";"Raum und Form";"Symmetrie und Abbildungen";"3";"2";""
"terme";"I";"msa";"Zahlen und Operationen";"Terme umformen";"2";"1";"binomische-formeln stecken hier oder in quadratische Gleichungen"
"terme";"I";"fhr";"Grundlagen";"Terme umformen";"2";"1";""
"trigonometrie";"I";"msa";"Größen und Messen";"Trigonometrie im rechtwinkligen Dreieck";"20";"4";""
"trigonometrie";"I";"msa";"Größen und Messen";"Sinus- und Kosinussatz";"9";"1";""
"trigonometrische-funktionen";"I";"";"";"";"0";"0";"kein Prüfungsthema; Aufgaben in anderen Themen oder nicht geprüft"
"wahrscheinlichkeit";"I";"msa";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"18";"6";""
"wahrscheinlichkeit";"I";"msa";"Daten und Zufall";"Wahrscheinlichkeit einstufig";"15";"2";""
"zufallsexperimente-und-pfadregeln";"II";"fhr";"Stochastik";"Mehrstufige Zufallsexperimente";"16";"6";""
"zufallsexperimente-und-pfadregeln";"II";"fhr";"Stochastik";"Laplace-Wahrscheinlichkeit";"7";"3";""
"zufallsexperimente-und-pfadregeln";"II";"fhr";"Stochastik";"Baumdiagramm und Pfadregeln";"5";"2";""
"zufallsexperimente-und-pfadregeln";"II";"abi";"Stochastik";"Baumdiagramm und Pfadregeln";"46";"31";""
"zufallsexperimente-und-pfadregeln";"II";"abi";"Stochastik";"Zufallsexperimente und Urnenmodelle";"35";"20";""
"zufallsexperimente-und-pfadregeln";"II";"abi";"Stochastik";"Ereignisse und Mengenoperationen";"4";"3";""
"zufallsexperimente-und-pfadregeln";"II";"iqb";"Stochastik";"Baumdiagramm und Pfadregeln";"67";"36";""
"zufallsexperimente-und-pfadregeln";"II";"iqb";"Stochastik";"Zufallsexperimente und Urnenmodelle";"61";"31";""
"zufallsexperimente-und-pfadregeln";"II";"iqb";"Stochastik";"Ereignisse und Mengenoperationen";"9";"6";""
"winkel-dreiecke";"I";"msa";"Raum und Form";"Ebene Figuren und Winkel";"21";"10";""
"zinsrechnung";"I";"msa";"Zahlen und Operationen";"Zinsrechnung";"5";"4";""
"zuordnungen";"I";"msa";"Gleichungen und Funktionen";"Zuordnungen proportional und antiproportional";"10";"4";""
"funktionen-allgemein";"I";"msa";"Gleichungen und Funktionen";"Funktionen allgemein";"5";"4";"keine Katalogdatei: Funktionsbegriff, Darstellungen, Koordinatensystem"
"funktionen-allgemein";"I";"msa";"Raum und Form";"Koordinaten und Zeichnen";"1";"1";"keine Katalogdatei: Funktionsbegriff, Darstellungen, Koordinatensystem"
"wahrscheinlichkeit";"I";"msa";"Daten und Zufall";"Zählen und Kombinatorik";"6";"4";""
"kombinatorik";"II";"fhr";"Stochastik";"Kombinatorische Abzählverfahren";"15";"6";""
"kombinatorik";"II";"abi";"Stochastik";"Kombinatorik";"5";"5";""
"kombinatorik";"II";"iqb";"Stochastik";"Kombinatorik";"14";"13";""
"ableitung-und-aenderungsrate";"II";"abi";"Analysis";"Ableitung und Änderungsrate";"25";"21";""
"ableitung-und-aenderungsrate";"II";"iqb";"Analysis";"Ableitung und Änderungsrate";"31";"26";""
"ableitungsgraph-und-funktionsgraph";"II";"abi";"Analysis";"Ableitungsgraph und Funktionsgraph";"11";"10";""
"ableitungsgraph-und-funktionsgraph";"II";"iqb";"Analysis";"Ableitungsgraph und Funktionsgraph";"12";"8";""
"ableitungsregeln";"II";"fhr";"Differentialrechnung";"Ableitungen bilden";"8";"2";"2 Zeilen Verhalten im Unendlichen darunter"
"ableitungsregeln";"II";"abi";"Analysis";"Ableitungsregeln";"8";"4";""
"ableitungsregeln";"II";"iqb";"Analysis";"Ableitungsregeln";"10";"8";""
"abstaende";"II";"abi";"Analytische Geometrie";"Abstände";"30";"20";""
"abstaende";"II";"iqb";"Analytische Geometrie";"Abstände";"33";"26";""
"bedingte-wahrscheinlichkeit-und-bayes";"II";"abi";"Stochastik";"Bedingte Wahrscheinlichkeit und Bayes";"12";"4";""
"bedingte-wahrscheinlichkeit-und-bayes";"II";"iqb";"Stochastik";"Bedingte Wahrscheinlichkeit und Bayes";"30";"12";""
"binomialverteilung";"II";"abi";"Stochastik";"Binomialverteilung";"65";"30";""
"binomialverteilung";"II";"iqb";"Stochastik";"Binomialverteilung";"104";"54";""
"ebenen";"II";"abi";"Analytische Geometrie";"Ebenen";"21";"10";""
"ebenen";"II";"iqb";"Analytische Geometrie";"Ebenen";"30";"17";""
"extremalprobleme";"II";"fhr";"Differentialrechnung";"Extremwertaufgaben";"9";"5";""
"extremalprobleme";"II";"abi";"Analysis";"Extremalprobleme";"8";"5";""
"extremalprobleme";"II";"iqb";"Analysis";"Extremalprobleme";"7";"6";""
"flaecheninhalt-durch-integration";"II";"fhr";"Integralrechnung";"Fläche zwischen Graph und x-Achse";"12";"3";""
"flaecheninhalt-durch-integration";"II";"fhr";"Integralrechnung";"Fläche zwischen zwei Graphen";"6";"1";""
"flaecheninhalt-durch-integration";"II";"fhr";"Integralrechnung";"Körpervolumen aus Grundfläche und Länge";"2";"2";"Querschnitt als Integralfläche"
"flaecheninhalt-durch-integration";"II";"abi";"Analysis";"Flächeninhalt durch Integration";"47";"34";""
"flaecheninhalt-durch-integration";"II";"iqb";"Analysis";"Flächeninhalt durch Integration";"65";"50";""
"flaecheninhalt-und-volumen-im-raum";"II";"abi";"Analytische Geometrie";"Flächeninhalt und Volumen im Raum";"27";"22";""
"flaecheninhalt-und-volumen-im-raum";"II";"iqb";"Analytische Geometrie";"Flächeninhalt und Volumen im Raum";"55";"47";""
"funktionsklassen-und-eigenschaften";"II";"fhr";"Differentialrechnung";"Graph zeichnen und zuordnen";"23";"7";""
"funktionsklassen-und-eigenschaften";"II";"fhr";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"19";"10";"abitur führt Nullstellen unter Funktionsklassen"
"funktionsklassen-und-eigenschaften";"II";"fhr";"Differentialrechnung";"Symmetrie nachweisen";"6";"1";""
"funktionsklassen-und-eigenschaften";"II";"abi";"Analysis";"Funktionsklassen und Eigenschaften";"55";"33";""
"funktionsklassen-und-eigenschaften";"II";"iqb";"Analysis";"Funktionsklassen und Eigenschaften";"104";"76";""
"funktionsscharen-und-ortskurven";"II";"abi";"Analysis";"Funktionsscharen und Ortskurven";"62";"47";""
"funktionsscharen-und-ortskurven";"II";"iqb";"Analysis";"Funktionsscharen und Ortskurven";"87";"74";""
"geraden";"II";"abi";"Analytische Geometrie";"Geraden";"18";"13";""
"geraden";"II";"iqb";"Analytische Geometrie";"Geraden";"23";"16";""
"gleichungen-loesen";"II";"fhr";"Differentialrechnung";"Schnittpunkte von Funktionsgraphen";"9";"2";""
"gleichungen-loesen";"II";"abi";"Analysis";"Gleichungen lösen";"16";"13";""
"gleichungen-loesen";"II";"iqb";"Analysis";"Gleichungen lösen";"20";"19";""
"grenzwerte-und-verhalten-im-unendlichen";"II";"fhr";"Differentialrechnung";"Verhalten im Unendlichen";"4";"2";""
"grenzwerte-und-verhalten-im-unendlichen";"II";"abi";"Analysis";"Grenzwerte und Verhalten im Unendlichen";"12";"4";""
"grenzwerte-und-verhalten-im-unendlichen";"II";"iqb";"Analysis";"Grenzwerte und Verhalten im Unendlichen";"6";"4";""
"hypergeometrische-verteilung";"II";"abi";"Stochastik";"Hypergeometrische Verteilung";"5";"3";""
"hypergeometrische-verteilung";"II";"iqb";"Stochastik";"Hypergeometrische Verteilung";"2";"1";""
"hypothesentests";"II";"abi";"Stochastik";"Hypothesentests";"11";"6";""
"hypothesentests";"II";"iqb";"Stochastik";"Hypothesentests";"12";"8";""
"integrationsregeln";"II";"abi";"Analysis";"Integrationsregeln";"1";"1";""
"integrationsregeln";"II";"iqb";"Analysis";"Integrationsregeln";"1";"1";""
"kenngroessen-von-verteilungen";"II";"fhr";"Stochastik";"Erwartungswert";"2";"1";""
"kenngroessen-von-verteilungen";"II";"abi";"Stochastik";"Kenngrößen von Verteilungen";"23";"13";""
"kenngroessen-von-verteilungen";"II";"iqb";"Stochastik";"Kenngrößen von Verteilungen";"51";"33";""
"konfidenzintervalle";"II";"iqb";"Stochastik";"Konfidenzintervalle";"12";"9";""
"kurvenuntersuchung";"II";"fhr";"Differentialrechnung";"Extrem- und Sattelpunkte";"23";"5";""
"kurvenuntersuchung";"II";"fhr";"Differentialrechnung";"Wendepunkte";"13";"3";""
"kurvenuntersuchung";"II";"fhr";"Differentialrechnung";"Monotonie und Krümmung";"3";"1";""
"kurvenuntersuchung";"II";"abi";"Analysis";"Kurvenuntersuchung";"62";"40";""
"kurvenuntersuchung";"II";"iqb";"Analysis";"Kurvenuntersuchung";"55";"37";""
"lagebeziehungen";"II";"abi";"Analytische Geometrie";"Lagebeziehungen";"14";"8";""
"lagebeziehungen";"II";"iqb";"Analytische Geometrie";"Lagebeziehungen";"26";"15";""
"linearkombination-und-lineare-abhaengigkeit";"II";"abi";"Analytische Geometrie";"Linearkombination und lineare Abhängigkeit";"1";"1";""
"matrizen-und-uebergangsprozesse";"II";"iqb";"Analytische Geometrie";"Matrizen und Übergangsprozesse";"156";"116";""
"normalverteilung-und-sigma-regeln";"II";"abi";"Stochastik";"Normalverteilung und Sigma-Regeln";"3";"3";""
"normalverteilung-und-sigma-regeln";"II";"iqb";"Stochastik";"Normalverteilung und Sigma-Regeln";"17";"15";""
"orthogonalitaet";"II";"abi";"Analytische Geometrie";"Orthogonalität";"14";"11";""
"orthogonalitaet";"II";"iqb";"Analytische Geometrie";"Orthogonalität";"31";"20";""
"punkte-und-strecken-im-koordinatensystem";"II";"abi";"Analytische Geometrie";"Punkte und Strecken im Koordinatensystem";"26";"24";""
"punkte-und-strecken-im-koordinatensystem";"II";"iqb";"Analytische Geometrie";"Punkte und Strecken im Koordinatensystem";"64";"52";""
"rekonstruktion-von-bestaenden";"II";"abi";"Analysis";"Rekonstruktion von Beständen";"8";"7";""
"rekonstruktion-von-bestaenden";"II";"iqb";"Analysis";"Rekonstruktion von Beständen";"19";"16";""
"rekonstruktion-von-funktionsgleichungen";"II";"fhr";"Differentialrechnung";"Funktionsgleichung bestimmen";"10";"5";""
"rekonstruktion-von-funktionsgleichungen";"II";"abi";"Analysis";"Rekonstruktion von Funktionsgleichungen";"17";"12";""
"rekonstruktion-von-funktionsgleichungen";"II";"iqb";"Analysis";"Rekonstruktion von Funktionsgleichungen";"10";"10";""
"rotationsvolumen";"II";"fhr";"Integralrechnung";"Rotationsvolumen um die x-Achse";"4";"1";""
"rotationsvolumen";"II";"abi";"Analysis";"Rotationsvolumen";"5";"4";""
"rotationsvolumen";"II";"iqb";"Analysis";"Rotationsvolumen";"5";"5";""
"scharen-von-geraden-und-ebenen";"II";"abi";"Analytische Geometrie";"Scharen von Geraden und Ebenen";"23";"21";""
"scharen-von-geraden-und-ebenen";"II";"iqb";"Analytische Geometrie";"Scharen von Geraden und Ebenen";"27";"24";""
"schnittmengen";"II";"abi";"Analytische Geometrie";"Schnittmengen";"14";"12";""
"schnittmengen";"II";"iqb";"Analytische Geometrie";"Schnittmengen";"18";"11";""
"skalarprodukt-und-winkel";"II";"abi";"Analytische Geometrie";"Skalarprodukt und Winkel";"15";"5";""
"skalarprodukt-und-winkel";"II";"iqb";"Analytische Geometrie";"Skalarprodukt und Winkel";"30";"17";""
"spiegelung";"II";"abi";"Analytische Geometrie";"Spiegelung";"7";"6";""
"spiegelung";"II";"iqb";"Analytische Geometrie";"Spiegelung";"20";"15";""
"stammfunktion-und-hauptsatz";"II";"abi";"Analysis";"Stammfunktion und Hauptsatz";"22";"15";""
"stammfunktion-und-hauptsatz";"II";"iqb";"Analysis";"Stammfunktion und Hauptsatz";"31";"21";""
"tangente-normale-schnittwinkel";"II";"fhr";"Differentialrechnung";"Anstieg und Tangente";"12";"8";""
"tangente-normale-schnittwinkel";"II";"fhr";"Differentialrechnung";"Normale";"3";"3";""
"tangente-normale-schnittwinkel";"II";"abi";"Analysis";"Tangente, Normale, Schnittwinkel";"57";"44";""
"tangente-normale-schnittwinkel";"II";"iqb";"Analysis";"Tangente, Normale, Schnittwinkel";"62";"48";""
"umkehrfunktion";"II";"abi";"Analysis";"Umkehrfunktion";"1";"1";""
"umkehrfunktion";"II";"iqb";"Analysis";"Umkehrfunktion";"5";"5";""
"unabhaengigkeit";"II";"fhr";"Stochastik";"Unabhängigkeit von Ereignissen";"4";"2";""
"unabhaengigkeit";"II";"abi";"Stochastik";"Unabhängigkeit";"8";"7";""
"unabhaengigkeit";"II";"iqb";"Stochastik";"Unabhängigkeit";"15";"8";""
"uneigentliche-integrale";"II";"abi";"Analysis";"Uneigentliche Integrale";"1";"1";""
"uneigentliche-integrale";"II";"iqb";"Analysis";"Uneigentliche Integrale";"1";"1";""
"vektoren-und-rechenoperationen";"II";"abi";"Analytische Geometrie";"Vektoren und Rechenoperationen";"1";"1";""
"vektoren-und-rechenoperationen";"II";"iqb";"Analytische Geometrie";"Vektoren und Rechenoperationen";"20";"16";""
"vierfeldertafel";"II";"abi";"Stochastik";"Vierfeldertafel";"8";"3";""
"vierfeldertafel";"II";"iqb";"Stochastik";"Vierfeldertafel";"21";"8";""
"zufallsgroessen-und-verteilungen";"II";"abi";"Stochastik";"Zufallsgrößen und Verteilungen";"1";"1";""
"zufallsgroessen-und-verteilungen";"II";"iqb";"Stochastik";"Zufallsgrößen und Verteilungen";"5";"5";""
