"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Nullstellen mit Polynomdivision";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine gegebene oder durch Probieren gefundene Nullstelle abspalten und die restliche Gleichung niedrigeren Grades lösen.";"2026-C-1f";"geprüft"
"Wertetabelle erstellen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Zu vorgegebenen oder selbst gewählten x-Werten die Funktionswerte berechnen und in eine vorgedruckte oder selbst angelegte Wertetabelle eintragen.";"2026-C-2a";"geprüft"
"Graph nach Wertetabelle skizzieren";"Differentialrechnung";"Graph zeichnen und zuordnen";"Den Graphen anhand einer Wertetabelle in ein selbst angelegtes Koordinatensystem eintragen.";"2026-C-2a";"geprüft"
"Fläche zwischen Graph und x-Achse berechnen";"Integralrechnung";"Fläche zwischen Graph und x-Achse";"Nullstellen als Grenzen nutzen, das bestimmte Integral bilden und den Betrag als Flächeninhalt angeben.";"2026-C-2b";"geprüft"
"Flächengleichheit mit Punktsymmetrie begründen";"Integralrechnung";"Fläche zwischen Graph und x-Achse";"Aus der Punktsymmetrie des Graphen auf gleich große Flächen schließen, ohne beide zu berechnen.";"2026-C-2b";"geprüft"
"Funktionsgleichung aus drei Punkten über LGS";"Differentialrechnung";"Funktionsgleichung bestimmen";"Allgemeinen Ansatz aufstellen, gegebene Punkte einsetzen und das lineare Gleichungssystem lösen.";"2026-C-2c";"geprüft"
"Fläche zwischen zwei Graphen berechnen";"Integralrechnung";"Fläche zwischen zwei Graphen";"Differenzfunktion bilden und über dem gegebenen Intervall integrieren.";"2026-C-2d";"geprüft"
"Punkte und Parabel einzeichnen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Gegebene Punkte eintragen und den Verlauf einer quadratischen Funktion zwischen ihnen skizzieren.";"2026-C-2d";"geprüft"
"Differenzfunktion aufstellen";"Integralrechnung";"Fläche zwischen zwei Graphen";"Aus zwei Funktionstermen die Differenz bilden und zusammenfassen.";"2026-C-2d";"geprüft"
"Volumen aus Querschnittsfläche und Länge";"Integralrechnung";"Körpervolumen aus Grundfläche und Länge";"Eine berechnete Querschnittsfläche mit einer Länge multiplizieren und das Ergebnis in eine andere Volumeneinheit umrechnen.";"2026-C-2e";"geprüft"
"Masse aus Volumen und Dichte";"Grundlagen";"Größen und Einheiten";"Aus Volumen und Masse je Volumeneinheit die Gesamtmasse berechnen.";"2026-C-2e";"geprüft"
"Mittelwert aus Häufigkeitstabelle";"Stochastik";"Statistische Kenngrößen";"Arithmetisches Mittel aus Werten mit zugehörigen absoluten Häufigkeiten berechnen.";"2026-C-3a";"geprüft"
"Median aus Häufigkeitstabelle";"Stochastik";"Statistische Kenngrößen";"Den Median aus der geordneten Liste aller Einzelwerte einer Häufigkeitstabelle bestimmen.";"2026-C-3a";"geprüft"
"Standardabweichung aus Häufigkeitstabelle";"Stochastik";"Statistische Kenngrößen";"Standardabweichung aus den mit den Häufigkeiten gewichteten quadratischen Abweichungen vom Mittelwert berechnen.";"2026-C-3a";"geprüft"
"Grundwert aus Prozentwert berechnen";"Grundlagen";"Prozentrechnung";"Aus einem verminderten oder vermehrten Wert und dem Prozentsatz den Grundwert bestimmen.";"2026-C-3b";"geprüft"
"Differenzbetrag aus Stückzahlen berechnen";"Grundlagen";"Prozentrechnung";"Preisdifferenzen mit Stückzahlen multiplizieren und zu einem Gesamtbetrag summieren.";"2026-C-3b";"geprüft"
"Relative Häufigkeit berechnen";"Stochastik";"Daten darstellen und aufbereiten";"Absolute Häufigkeiten durch den Gesamtumfang teilen und als Dezimalzahl oder Prozentwert angeben.";"2026-C-3c";"geprüft"
"Häufigkeitsdiagramm zeichnen";"Stochastik";"Daten darstellen und aufbereiten";"Häufigkeiten in einem selbst gewählten Diagramm mit beschrifteten Achsen darstellen.";"2026-C-3c";"geprüft"
"Baumdiagramm zweistufig darstellen";"Stochastik";"Baumdiagramm und Pfadregeln";"Ein zweistufiges Zufallsexperiment mit allen Ästen und Wahrscheinlichkeiten zeichnen.";"2026-C-3d";"geprüft"
"Pfadregel zweistufig anwenden";"Stochastik";"Baumdiagramm und Pfadregeln";"Die Wahrscheinlichkeit eines Ergebnisses als Produkt entlang eines Pfades berechnen.";"2026-C-3d";"geprüft"
"Gegenereignis nutzen";"Stochastik";"Baumdiagramm und Pfadregeln";"Eine Wahrscheinlichkeit als 1 minus der Wahrscheinlichkeit des Gegenereignisses berechnen.";"2026-C-3d";"geprüft"
"Vierfeldertafel vervollständigen";"Stochastik";"Unabhängigkeit von Ereignissen";"Fehlende Felder und Randsummen einer Vierfeldertafel aus gegebenen Anzahlen ergänzen.";"2026-C-3e";"geprüft"
"Stochastische Unabhängigkeit prüfen";"Stochastik";"Unabhängigkeit von Ereignissen";"Prüfen, ob das Produkt der Einzelwahrscheinlichkeiten gleich der Wahrscheinlichkeit des Schnittereignisses ist.";"2026-C-3e";"geprüft"
"Nullstellen über Substitution biquadratisch";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine biquadratische Gleichung mit z = x^2 auf eine quadratische zurückführen, lösen und rücksubstituieren.";"2026-B-1b";"geprüft"
"Schnittpunkt mit der y-Achse berechnen";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Den Funktionswert an der Stelle null berechnen und als Achsenschnittpunkt angeben.";"2026-B-1b";"geprüft"
"Krümmungsverhalten angeben";"Differentialrechnung";"Monotonie und Krümmung";"Die Intervalle der Links- und Rechtskrümmung aus den Wendestellen und dem Vorzeichen von f'' angeben.";"2026-B-1e";"geprüft"
"Graph ganzrationaler Funktion im Intervall zeichnen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Den Graphen über einem vorgegebenen Intervall in ein selbst angelegtes Koordinatensystem zeichnen, ohne vorgedruckte Wertetabelle.";"2026-B-1f";"geprüft"
"Tangenteneigenschaft einer Geraden nachweisen";"Differentialrechnung";"Anstieg und Tangente";"Für eine gegebene Gerade nachweisen, dass sie an einer Stelle Funktionswert und Anstieg mit dem Graphen teilt und damit Tangente ist.";"2026-B-1g";"geprüft"
"Tangente in das Koordinatensystem einzeichnen";"Differentialrechnung";"Anstieg und Tangente";"Eine durch ihre Gleichung gegebene Tangente in ein vorhandenes Koordinatensystem eintragen.";"2026-B-1g";"geprüft"
"Dreiecksfläche aus Achsenabschnitten einer Geraden";"Differentialrechnung";"Anstieg und Tangente";"Aus Nullstelle und y-Achsenabschnitt einer Geraden die Katheten des eingeschlossenen Dreiecks bilden und dessen Flächeninhalt berechnen.";"2026-B-1h";"geprüft"
"Funktionsgleichung mit Symmetriebedingung über LGS";"Differentialrechnung";"Funktionsgleichung bestimmen";"Aus einer Symmetrieeigenschaft den verkürzten Ansatz aufstellen, gegebene Punkte einsetzen und das LGS lösen.";"2026-B-2a";"geprüft"
"Nullstellen durch Ausklammern";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Die Variable ausklammern und die Nullstellen über den Satz vom Nullprodukt bestimmen.";"2026-B-2b";"geprüft"
"Streckenlänge im Koordinatensystem in Meter umrechnen";"Grundlagen";"Größen und Einheiten";"Eine in Längeneinheiten gemessene Strecke über den angegebenen Maßstab in eine wirkliche Länge umrechnen.";"2026-B-2b";"geprüft"
"Flächeninhalt im Koordinatensystem in Quadratmeter umrechnen";"Grundlagen";"Größen und Einheiten";"Eine Maßzahl in Flächeneinheiten mit dem quadrierten Maßstab in einen wirklichen Flächeninhalt umrechnen.";"2026-B-2d";"geprüft"
"Mittelwert aus Werteliste";"Stochastik";"Statistische Kenngrößen";"Arithmetisches Mittel einer ungewichteten Liste von Einzelwerten als Summe durch Anzahl berechnen.";"2026-B-3a";"geprüft"
"Standardabweichung aus Werteliste";"Stochastik";"Statistische Kenngrößen";"Standardabweichung einer ungewichteten Werteliste über die mittlere quadratische Abweichung vom Mittelwert berechnen.";"2026-B-3a";"geprüft"
"Kombination mit Wiederholung berechnen";"Stochastik";"Kombinatorische Abzählverfahren";"Die Zahl der Auswahlen ohne Beachtung der Reihenfolge und mit Wiederholung über den Binomialkoeffizienten von n + k − 1 über k bestimmen.";"2026-B-3d";"geprüft"
"Permutation mit Wiederholung berechnen";"Stochastik";"Kombinatorische Abzählverfahren";"Die Zahl der Anordnungen mehrerer gleichartiger Gruppen als Fakultät der Gesamtzahl geteilt durch das Produkt der Gruppenfakultäten bestimmen.";"2026-B-3e";"geprüft"
"Nullstelle durch Einsetzen nachweisen";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine behauptete Nullstelle durch Einsetzen in den Funktionsterm bestätigen.";"2025-C-1b";"geprüft"
"Weitere Nullstellen über Symmetrie angeben";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Aus einer bekannten Nullstelle und der Symmetrie des Graphen die übrigen Nullstellen ohne Rechnung angeben.";"2025-C-1b";"geprüft"
"Schnittpunkte zweier Funktionsgraphen berechnen";"Differentialrechnung";"Schnittpunkte von Funktionsgraphen";"Zwei Funktionsterme gleichsetzen, die Gleichung lösen und die Schnittpunkte mit beiden Koordinaten angeben.";"2025-C-1f";"geprüft"
"Funktionswert im Sachzusammenhang deuten";"Grundlagen";"Größen und Einheiten";"Eine Stelle aus dem Sachzusammenhang bestimmen, den Funktionswert berechnen und als Länge oder Höhe in der Wirklichkeit deuten.";"2025-C-2a";"geprüft"
"Gleichung vierten Grades über Substitution lösen";"Grundlagen";"Gleichungen lösen";"Eine Gleichung der Form f(x) = c auf Normalform bringen, mit z = x^2 substituieren, lösen und rücksubstituieren.";"2025-C-2b";"geprüft"
"Markante Punkte im Sachzusammenhang markieren und ablesen";"Differentialrechnung";"Graph zeichnen und zuordnen";"In einer vorgegebenen Abbildung die kennzeichnenden Punkte eintragen und ihre Koordinaten aus den Sachangaben notieren.";"2025-C-2d";"geprüft"
"Länge aus Volumen und Querschnittsfläche berechnen";"Integralrechnung";"Körpervolumen aus Grundfläche und Länge";"Bei gegebenem Volumen und gegebener Querschnittsfläche die Länge eines prismatischen Körpers bestimmen.";"2025-C-2e";"geprüft"
"Modalwert aus Häufigkeitstabelle";"Stochastik";"Statistische Kenngrößen";"Den häufigsten Wert einer Häufigkeitstabelle ablesen und angeben.";"2025-C-3a";"geprüft"
"Urliste zu einer Häufigkeitsverteilung ordnen";"Stochastik";"Daten darstellen und aufbereiten";"Eine ungeordnete Liste von Einzelwerten auszählen und als Häufigkeitsverteilung darstellen.";"2025-C-3b";"geprüft"
"Zwei Häufigkeitsverteilungen gemeinsam darstellen";"Stochastik";"Daten darstellen und aufbereiten";"Zwei Verteilungen mit verschiedenen Gesamtzahlen in einem Diagramm gruppiert und mit Legende darstellen.";"2025-C-3b";"geprüft"
"Baumdiagramm mehrstufig ohne Zurücklegen darstellen";"Stochastik";"Mehrstufige Zufallsexperimente";"Ein Ziehen ohne Zurücklegen über zwei oder mehr Stufen mit allen Pfaden und den von Stufe zu Stufe sinkenden Nennern zeichnen.";"2025-C-3c";"geprüft"
"Pfadregel mehrstufig ohne Zurücklegen anwenden";"Stochastik";"Mehrstufige Zufallsexperimente";"Bei einem Versuch mit zwei oder mehr Stufen ohne Zurücklegen die Wahrscheinlichkeit eines Pfades als Produkt der Ästewahrscheinlichkeiten berechnen, deren Nenner von Stufe zu Stufe kleiner werden.";"2025-C-3c";"geprüft"
"Kombination ohne Wiederholung berechnen";"Stochastik";"Kombinatorische Abzählverfahren";"Die Zahl der Auswahlen von k aus n ohne Beachtung der Reihenfolge über den Binomialkoeffizienten bestimmen.";"2025-C-3d";"geprüft"
"Permutation ohne Wiederholung berechnen";"Stochastik";"Kombinatorische Abzählverfahren";"Die Zahl der Anordnungen unterscheidbarer Elemente als Fakultät ihrer Anzahl bestimmen.";"2025-C-3d";"geprüft"
"Fläche zwischen Graph und Koordinatenachsen markieren";"Integralrechnung";"Fläche zwischen Graph und x-Achse";"Die von einem vorgegebenen Graphen und den beiden Koordinatenachsen begrenzte Fläche im Koordinatensystem kennzeichnen, ohne sie zu berechnen.";"2025-A-1a";"geprüft"
"Funktionswert am Graphen ablesen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Zu einer gegebenen Stelle den Funktionswert aus einem vorgegebenen Graphen ablesen und angeben.";"2025-A-1b";"geprüft"
"Vorzeichen der ersten Ableitung am Graphen beurteilen";"Differentialrechnung";"Monotonie und Krümmung";"Aus dem Steigen oder Fallen eines vorgegebenen Graphen an einer Stelle auf das Vorzeichen der ersten Ableitung schließen und die Antwort begründen.";"2025-A-1b";"geprüft"
"Krümmungsbereiche am Graphen markieren";"Differentialrechnung";"Monotonie und Krümmung";"Die links- oder rechtsgekrümmten Abschnitte eines vorgegebenen Graphen im Koordinatensystem kennzeichnen.";"2025-A-1c";"geprüft"
"Normalengleichung im Punkt";"Differentialrechnung";"Normale";"Den Anstieg der Normale als negativen Kehrwert der Ableitung an der Stelle bilden und mit dem Funktionswert das absolute Glied der Geradengleichung berechnen.";"2025-A-1h";"geprüft"
"Normale in das Koordinatensystem einzeichnen";"Differentialrechnung";"Normale";"Eine durch ihre Gleichung gegebene Normale in ein vorhandenes Koordinatensystem eintragen.";"2025-A-1h";"geprüft"
"Funktionsgleichung mit Extremalbedingung über LGS";"Differentialrechnung";"Funktionsgleichung bestimmen";"Allgemeinen Ansatz aufstellen, gegebene Punkte einsetzen und die Bedingung erste Ableitung gleich Null an der Extremstelle ergänzen, dann das LGS lösen.";"2025-A-2a";"geprüft"
"Stelle zu gegebenem Funktionswert berechnen";"Differentialrechnung";"Schnittpunkte von Funktionsgraphen";"Den Funktionsterm einem vorgegebenen Wert gleichsetzen, die Gleichung lösen und alle im Sachzusammenhang sinnvollen Lösungen angeben.";"2025-A-2c";"geprüft"
"Flächeninhalt bei gegebener Nebenbedingung berechnen";"Differentialrechnung";"Extremwertaufgaben";"Aus der Nebenbedingung die fehlende Seite bestimmen und den Flächeninhalt für vorgegebene Seitenlängen berechnen.";"2025-A-2d";"geprüft"
"Zielfunktion aus Haupt- und Nebenbedingung aufstellen";"Differentialrechnung";"Extremwertaufgaben";"Hauptbedingung und Nebenbedingung notieren, die Nebenbedingung nach einer Variablen umstellen und einsetzen, um eine Zielfunktion in einer Variablen zu erhalten.";"2025-A-2e";"geprüft"
"Maximum der Zielfunktion bestimmen";"Differentialrechnung";"Extremwertaufgaben";"Die Zielfunktion ableiten, die Extremstelle berechnen und daraus den größten Wert samt den zugehörigen Größen angeben.";"2025-A-2f";"geprüft"
"Gegenereignis in Worten formulieren";"Stochastik";"Baumdiagramm und Pfadregeln";"Zu einem in Worten gegebenen Ereignis das Gegenereignis sprachlich richtig beschreiben.";"2025-A-3c";"geprüft"
"Pfadregel mehrstufig mit Zurücklegen anwenden";"Stochastik";"Mehrstufige Zufallsexperimente";"Die Wahrscheinlichkeit mehrerer gleichartiger unabhängiger Versuche als Potenz der Einzelwahrscheinlichkeit berechnen.";"2025-A-3e";"geprüft"
"Anstieg des Graphen an einer Stelle berechnen";"Differentialrechnung";"Anstieg und Tangente";"Den Anstieg des Graphen an einer gegebenen Stelle als Wert der ersten Ableitung dort berechnen, ohne eine Tangentengleichung aufzustellen.";"2024-C-1c";"geprüft"
"Nullstellen einer quadratischen Funktion über Wurzelziehen";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine reinquadratische Funktion gleich Null setzen, das quadratische Glied isolieren und beide Nullstellen durch Wurzelziehen angeben.";"2024-C-2a";"geprüft"
"Rotationsvolumen um die x-Achse berechnen";"Integralrechnung";"Rotationsvolumen um die x-Achse";"Das Volumen eines Rotationskörpers als Produkt der Kreiszahl mit dem Integral über das Quadrat des Funktionsterms zwischen den Grenzen berechnen.";"2024-C-2c";"geprüft"
"Maximale Höhe im Sachzusammenhang berechnen";"Differentialrechnung";"Extrem- und Sattelpunkte";"Die Stelle mit erster Ableitung Null berechnen und den zugehörigen Funktionswert als größten Wert im Sachzusammenhang deuten; bei einer Wurfparabel ohne Nachweis über die zweite Ableitung.";"2024-C-2d";"geprüft"
"Nullstellen einer quadratischen Funktion mit Lösungsformel";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Eine quadratische Funktion gleich Null setzen, die Gleichung auf die Normalform bringen und mit der Lösungsformel lösen.";"2024-C-2e";"geprüft"
"Median aus Werteliste";"Stochastik";"Statistische Kenngrößen";"Den Median einer ungeordneten Werteliste durch Ordnen bestimmen und bei gerader Anzahl aus den beiden mittleren Werten mitteln.";"2024-C-3a";"geprüft"
"Anzahl aus relativer Häufigkeit hochrechnen";"Stochastik";"Daten darstellen und aufbereiten";"Aus relativen Häufigkeiten einer Stichprobe die zu erwartenden Anzahlen für eine größere Gruppe berechnen und auf ganze Stücke aufrunden.";"2024-C-3b";"geprüft"
"Bedarf im ungünstigsten Fall angeben";"Stochastik";"Daten darstellen und aufbereiten";"Ohne Kenntnis der konkreten Verteilung die Menge angeben, die in jedem Fall ausreicht, weil jede Gruppengröße vollständig bedient werden muss.";"2024-C-3b";"geprüft"
"Wahrscheinlichkeit über mehrere Pfade summieren";"Stochastik";"Mehrstufige Zufallsexperimente";"Ein Ereignis, das mehrere Pfade des Baumdiagramms umfasst, über die Summe aller zugehörigen Pfadwahrscheinlichkeiten berechnen und dabei die Zahl der Reihenfolgen beachten.";"2024-C-3c";"geprüft"
"Grad einer Funktion am Graphen bestimmen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Aus der Zahl der Extrempunkte eines vorgegebenen Graphen auf den Grad der ganzrationalen Funktion schließen und die Wahl begründen.";"2024-B-1a";"geprüft"
"Wendepunkte am Graphen markieren";"Differentialrechnung";"Wendepunkte";"Die Stellen des Krümmungswechsels in einem vorgegebenen Graphen abschätzen und die Wendepunkte dort einzeichnen.";"2024-B-1a";"geprüft"
"Vorzeichen der zweiten Ableitung am Graphen beurteilen";"Differentialrechnung";"Monotonie und Krümmung";"Aus der Links- oder Rechtskrümmung eines vorgegebenen Graphen an einer Stelle auf das Vorzeichen der zweiten Ableitung schließen und die Antwort begründen.";"2024-B-1b";"geprüft"
"Extrempunkt über notwendige Bedingung ausschließen";"Differentialrechnung";"Extrem- und Sattelpunkte";"Über f'(x) ungleich null zeigen, dass ein gegebener Punkt des Graphen kein Extrempunkt sein kann.";"2024-B-1d";"geprüft"
"Sattelpunkt an einer Wendestelle nachweisen";"Differentialrechnung";"Extrem- und Sattelpunkte";"An einer bereits bestimmten Wendestelle zusätzlich f'(x) = 0 zeigen und den Wendepunkt damit als Sattelpunkt ausweisen.";"2024-B-1e";"geprüft"
"Koordinatenachsen in eine Abbildung einzeichnen";"Differentialrechnung";"Graph zeichnen und zuordnen";"In eine maßstäbliche Abbildung ohne Koordinatensystem die Lage von x- und y-Achse so einzeichnen, dass sie zum gegebenen Funktionsterm passt.";"2024-B-2a";"geprüft"
"Stückzahl aus Gesamtmenge und Verbrauch je Stück berechnen";"Grundlagen";"Größen und Einheiten";"Eine verfügbare Gesamtmenge durch den Verbrauch je Stück teilen und auf die ganze Stückzahl abrunden.";"2024-B-2d";"geprüft"
"Medianklasse aus klassierter Häufigkeitstabelle bestimmen";"Stochastik";"Statistische Kenngrößen";"Über die kumulierten Häufigkeiten die Klasse angeben, in der der Median klassierter Daten liegt, und die Wahl mit der Position des Medians begründen.";"2024-B-3a";"geprüft"
"Nullstellen aus der faktorisierten Form ablesen";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Aus einem als Produkt von Linearfaktoren gegebenen Funktionsterm die Nullstellen ohne Rechnung ablesen.";"2023-C-1a";"geprüft"
"Ungleichheit zweier Funktionsterme nachweisen";"Grundlagen";"Terme umformen";"Zeigen, dass zwei Funktionsterme nicht dieselbe Funktion beschreiben, etwa durch eine Punktprobe an einer Stelle mit verschiedenen Funktionswerten.";"2023-C-1a";"geprüft"
"Wendepunkt über notwendige Bedingung ausschließen";"Differentialrechnung";"Wendepunkte";"Über f''(x) ungleich null zeigen, dass ein gegebener Punkt des Graphen kein Wendepunkt sein kann.";"2023-C-1d";"geprüft"
"Mindestmaße eines umschließenden Rechtecks bestimmen";"Grundlagen";"Größen und Einheiten";"Aus berechneten Punkten die Breite und Höhe des kleinsten Rechtecks angeben, das eine Fläche im Sachzusammenhang vollständig aufnimmt.";"2023-C-2c";"geprüft"
"Preis aus Fläche und Quadratmeterpreis berechnen";"Grundlagen";"Größen und Einheiten";"Einen Flächeninhalt in Quadratmetern mit dem Preis je Quadratmeter multiplizieren.";"2023-C-2c";"geprüft"
"Prozentualen Mehrpreis berechnen";"Grundlagen";"Prozentrechnung";"Zwei Preise ins Verhältnis setzen, den Prozentsatz bezogen auf den günstigeren als Grundwert bestimmen und die Differenz zu 100 Prozent als Mehrpreis angeben.";"2023-C-3a";"geprüft"
"Ergebnismenge eines Zufallsexperiments angeben";"Stochastik";"Laplace-Wahrscheinlichkeit";"Alle möglichen Ergebnisse eines einstufigen Zufallsexperiments als Menge notieren.";"2023-C-3b";"geprüft"
"Laplace-Bedingung begründen";"Stochastik";"Laplace-Wahrscheinlichkeit";"Anhand der Versuchsbedingungen begründen, dass alle Ergebnisse gleich wahrscheinlich sind und damit ein Laplace-Experiment vorliegt.";"2023-C-3b";"geprüft"
"Laplace-Wahrscheinlichkeit berechnen";"Stochastik";"Laplace-Wahrscheinlichkeit";"Die Wahrscheinlichkeit eines Ereignisses im ein- oder mehrstufigen Laplace-Versuch als Anteil der günstigen an allen gleich wahrscheinlichen Ergebnissen berechnen.";"2023-C-3b";"geprüft"
"Dreieck in das Koordinatensystem einzeichnen";"Differentialrechnung";"Graph zeichnen und zuordnen";"Ein durch seine Eckpunkte gegebenes Dreieck in ein vorhandenes oder selbst angelegtes Koordinatensystem eintragen.";"2023-A-1e";"geprüft"
"Dreiecksfläche aus Punktkoordinaten berechnen";"Differentialrechnung";"Extremwertaufgaben";"Aus den Koordinaten der Eckpunkte Grundseite und Höhe eines rechtwinkligen Dreiecks bestimmen und dessen Flächeninhalt berechnen.";"2023-A-1e";"geprüft"
"Produkt zweier Funktionsterme ausmultiplizieren";"Grundlagen";"Terme umformen";"Zwei gegebene Funktionsterme multiplizieren, ordnen und zusammenfassen, um eine vorgegebene Darstellung nachzuweisen.";"2023-A-2c";"geprüft"
"Nullstellen eines Produkts von Funktionen begründen";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Über den Satz vom Nullprodukt begründen, welche Nullstellen ein als Produkt gegebener Funktionsterm besitzt, und ausschließen, dass weitere hinzukommen.";"2023-A-2d";"geprüft"
"Geradengleichung aus zwei Punkten bestimmen";"Differentialrechnung";"Funktionsgleichung bestimmen";"Aus zwei gegebenen Punkten den Anstieg als Quotient der Koordinatendifferenzen und den y-Achsenabschnitt bestimmen und die Gleichung der linearen Funktion notieren.";"2022-C-2b";"geprüft"
"Anstieg einer senkrechten Geraden angeben";"Differentialrechnung";"Normale";"Zu einer Geraden mit bekanntem Anstieg den Anstieg einer dazu senkrechten Geraden als negativen Kehrwert angeben, ohne eine vollständige Geradengleichung aufzustellen.";"2022-C-2b";"geprüft"
"Ganzzahlige Nullstellen durch Probieren finden";"Differentialrechnung";"Nullstellen ganzrationaler Funktionen";"Bei gegebener Anzahl ganzzahliger Nullstellen diese über eine Wertetabelle oder durch systematisches Einsetzen ganzer Zahlen auffinden, ohne Polynomdivision oder Lösungsformel.";"2022-C-2c";"geprüft"
"Änderung der Häufigkeiten bei größerer Stichprobe begründen";"Stochastik";"Daten darstellen und aufbereiten";"Begründen, wie sich absolute und relative Häufigkeiten verhalten, wenn der Stichprobenumfang bei gleichem Verhalten der Grundgesamtheit vervielfacht wird.";"2022-C-3d";"geprüft"
"Funktionswert an einer Stelle berechnen";"Differentialrechnung";"Schnittpunkte von Funktionsgraphen";"Eine gegebene Stelle in den Funktionsterm einsetzen und den zugehörigen Funktionswert berechnen; Umkehrung zu Stelle zu gegebenem Funktionswert berechnen.";"2022-B-1f";"geprüft"
"Prozentsatz aus Anteil berechnen";"Grundlagen";"Prozentrechnung";"Aus Prozentwert und Grundwert den Prozentsatz als Quotienten bestimmen und in Prozent angeben.";"2022-B-2b";"geprüft"
"Vertauschung der Reihenfolge bei unabhängigen Stufen begründen";"Stochastik";"Baumdiagramm und Pfadregeln";"Begründen, dass die Wahrscheinlichkeit eines Pfades sich nicht ändert, wenn die Reihenfolge voneinander unabhängiger Stufen vertauscht wird, weil nur die Faktoren die Plätze tauschen.";"2022-B-3d";"geprüft"
"Wahrscheinlichkeitsverteilung aufstellen";"Stochastik";"Baumdiagramm und Pfadregeln";"Zu einem mehrstufigen Versuch alle möglichen Werte der Zufallsgröße bilden, gleiche Werte durch Addition ihrer Pfadwahrscheinlichkeiten zusammenfassen und die Verteilung als Tabelle angeben.";"2022-B-3e";"geprüft"
"Gegebene Stelle als Extremstelle nachweisen";"Differentialrechnung";"Extrem- und Sattelpunkte";"Für eine vorgegebene Stelle oder einen vorgegebenen Punkt über notwendige und hinreichende Bedingung nachweisen, dass dort ein Extrempunkt vorliegt, ohne die Stelle selbst zu berechnen.";"2021-B-1c";"geprüft"
